"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 20, 2021","1.01893","1.02745","1.02925","1.00778","11.73M","-0.83%"
"Aug 19, 2021","1.02745","0.96644","1.02745","0.92721","12.20M","6.28%"
"Aug 18, 2021","0.96677","0.99326","1.01554","0.92757","17.98M","-2.44%"
"Aug 17, 2021","0.99095","1.02848","1.10489","0.98152","27.31M","-3.63%"
"Aug 16, 2021","1.02825","1.06281","1.11118","1.01351","24.32M","-3.27%"
"Aug 15, 2021","1.06297","1.06923","1.07486","1.00706","15.01M","-0.60%"
"Aug 14, 2021","1.06935","1.05984","1.09346","1.01398","30.52M","0.92%"
"Aug 13, 2021","1.05957","0.95296","1.05957","0.92089","40.51M","11.18%"
"Aug 12, 2021","0.95302","0.99451","1.02492","0.90904","21.49M","-4.09%"
"Aug 11, 2021","0.99366","0.97415","1.04265","0.95491","22.28M","2.01%"
"Aug 10, 2021","0.97410","0.95450","0.99002","0.92137","17.84M","1.98%"
"Aug 09, 2021","0.95522","0.93260","0.96419","0.88963","21.98M","2.38%"
"Aug 08, 2021","0.93302","0.93340","1.04548","0.91267","47.39M","0.05%"
"Aug 07, 2021","0.93251","0.89362","0.93689","0.88274","21.79M","4.39%"
"Aug 06, 2021","0.89326","0.88778","0.90207","0.85744","15.58M","0.61%"
"Aug 05, 2021","0.88781","0.86894","0.91967","0.83970","30.26M","2.23%"
"Aug 04, 2021","0.86847","0.85811","0.87365","0.82491","20.96M","1.20%"
"Aug 03, 2021","0.85821","0.81668","0.85831","0.77621","18.52M","5.09%"
"Aug 02, 2021","0.81668","0.78291","0.82366","0.75725","14.24M","4.32%"
"Aug 01, 2021","0.78288","0.81687","0.84432","0.77444","20.94M","-4.05%"
"Jul 31, 2021","0.81588","0.77878","0.86157","0.76563","36.42M","4.75%"
"Jul 30, 2021","0.77888","0.75643","0.77973","0.71785","14.95M","2.99%"
"Jul 29, 2021","0.75627","0.70717","0.77719","0.68924","22.74M","7.03%"
"Jul 28, 2021","0.70661","0.71027","0.72401","0.69022","14.24M","-0.53%"
"Jul 27, 2021","0.71039","0.67557","0.75568","0.65713","26.71M","5.16%"
"Jul 26, 2021","0.67555","0.65883","0.72474","0.65562","23.13M","2.60%"
"Jul 25, 2021","0.65845","0.65019","0.65845","0.63123","8.01M","-0.95%"
"Jul 24, 2021","0.66474","0.64970","0.67636","0.64498","12.55M","2.35%"
"Jul 23, 2021","0.64945","0.64162","0.65136","0.60630","11.03M","1.20%"
"Jul 22, 2021","0.64177","0.63507","0.64177","0.61141","17.82M","1.45%"
"Jul 21, 2021","0.63259","0.54733","0.65657","0.53066","30.02M","15.57%"
"Jul 20, 2021","0.54737","0.58287","0.59450","0.52489","17.24M","-6.09%"
"Jul 19, 2021","0.58287","0.62293","0.62786","0.57823","11.76M","-6.43%"
"Jul 18, 2021","0.62294","0.62698","0.65360","0.61011","7.88M","-0.62%"
"Jul 17, 2021","0.62682","0.61838","0.63129","0.59813","10.22M","1.46%"
"Jul 16, 2021","0.61782","0.67143","0.67568","0.61329","14.19M","-7.93%"
"Jul 15, 2021","0.67105","0.71612","0.72189","0.65368","14.45M","-6.29%"
"Jul 14, 2021","0.71612","0.71298","0.72102","0.66549","11.42M","0.44%"
"Jul 13, 2021","0.71298","0.75253","0.75456","0.70455","10.00M","-5.31%"
"Jul 12, 2021","0.75297","0.79530","0.79560","0.73927","13.14M","-5.26%"
"Jul 11, 2021","0.79474","0.78948","0.79913","0.76296","14.98M","0.69%"
"Jul 10, 2021","0.78930","0.83813","0.85595","0.77439","32.99M","-5.83%"
"Jul 09, 2021","0.83818","0.82179","0.89997","0.77095","79.61M","2.00%"
"Jul 08, 2021","0.82179","0.78909","0.82253","0.70872","21.94M","4.17%"
"Jul 07, 2021","0.78887","0.71174","0.82684","0.70451","31.82M","10.80%"
"Jul 06, 2021","0.71199","0.69435","0.74658","0.69148","17.74M","2.52%"
"Jul 05, 2021","0.69446","0.72409","0.72450","0.67114","13.13M","-4.09%"
"Jul 04, 2021","0.72407","0.70975","0.74189","0.70475","8.87M","2.02%"
"Jul 03, 2021","0.70975","0.69191","0.71343","0.66867","10.80M","2.58%"
"Jul 02, 2021","0.69191","0.68995","0.69734","0.65464","13.21M","0.19%"
"Jul 01, 2021","0.69061","0.74092","0.76724","0.67708","19.48M","-6.75%"
"Jun 30, 2021","0.74057","0.72418","0.74146","0.67116","17.01M","2.27%"
"Jun 29, 2021","0.72416","0.70172","0.75008","0.69452","20.47M","3.35%"
"Jun 28, 2021","0.70069","0.63681","0.71496","0.62958","21.62M","10.06%"
"Jun 27, 2021","0.63666","0.60105","0.63721","0.58238","12.19M","5.96%"
"Jun 26, 2021","0.60082","0.60380","0.62374","0.56849","19.95M","-0.79%"
"Jun 25, 2021","0.60562","0.66246","0.68234","0.59423","21.92M","-8.58%"
"Jun 24, 2021","0.66247","0.64252","0.68216","0.60950","16.53M","3.12%"
"Jun 23, 2021","0.64243","0.57617","0.65762","0.55435","26.75M","11.66%"
"Jun 22, 2021","0.57533","0.60327","0.64405","0.49743","47.83M","-4.69%"
"Jun 21, 2021","0.60364","0.79093","0.79694","0.60015","36.04M","-23.67%"
"Jun 20, 2021","0.79086","0.78913","0.79790","0.72485","14.27M","0.06%"
"Jun 19, 2021","0.79038","0.81313","0.82988","0.78495","8.49M","-2.80%"
"Jun 18, 2021","0.81313","0.87484","0.88251","0.78185","13.09M","-7.03%"
"Jun 17, 2021","0.87461","0.86708","0.89953","0.85155","9.68M","0.87%"
"Jun 16, 2021","0.86708","0.89488","0.94057","0.85671","16.91M","-3.12%"
"Jun 15, 2021","0.89500","0.91017","0.95851","0.88791","17.11M","-1.63%"
"Jun 14, 2021","0.90979","0.89626","0.93313","0.86733","17.20M","1.51%"
"Jun 13, 2021","0.89626","0.85087","0.90014","0.80891","22.15M","5.35%"
"Jun 12, 2021","0.85074","0.86322","0.89026","0.80336","19.39M","-1.47%"
"Jun 11, 2021","0.86345","0.93282","0.94890","0.85135","15.75M","-7.23%"
"Jun 10, 2021","0.93073","0.96568","0.98300","0.91195","18.68M","-3.56%"
"Jun 09, 2021","0.96510","0.95405","0.98060","0.92319","26.24M","1.08%"
"Jun 08, 2021","0.95481","0.95316","0.96764","0.83081","29.19M","0.18%"
"Jun 07, 2021","0.95306","1.05955","1.08283","0.94458","15.34M","-9.99%"
"Jun 06, 2021","1.05881","1.04123","1.07693","1.03070","10.03M","1.66%"
"Jun 05, 2021","1.04148","1.06815","1.13941","1.00940","17.67M","-2.54%"
"Jun 04, 2021","1.06862","1.18884","1.18890","1.02098","24.28M","-10.13%"
"Jun 03, 2021","1.18902","1.14752","1.23169","1.09455","33.62M","3.64%"
"Jun 02, 2021","1.14731","1.02643","1.22214","1.02008","77.90M","11.78%"
"Jun 01, 2021","1.02643","1.01959","1.05098","0.98267","18.46M","0.64%"
"May 31, 2021","1.01992","0.93624","1.02021","0.88874","21.00M","8.85%"
"May 30, 2021","0.93700","0.89881","0.98701","0.84301","18.14M","4.26%"
"May 29, 2021","0.89867","0.96473","1.00524","0.84497","25.03M","-6.84%"
"May 28, 2021","0.96466","1.09752","1.12044","0.92601","37.96M","-12.03%"
"May 27, 2021","1.09660","1.14894","1.18744","1.02366","33.29M","-4.54%"
"May 26, 2021","1.14870","0.97794","1.14899","0.96696","38.01M","17.48%"
"May 25, 2021","0.97776","0.98537","1.02856","0.88666","40.11M","-0.76%"
"May 24, 2021","0.98527","0.79592","0.99496","0.78317","51.17M","23.67%"
"May 23, 2021","0.79670","0.95731","0.98611","0.62059","62.05M","-16.76%"
"May 22, 2021","0.95714","1.03875","1.04825","0.89035","48.27M","-8.01%"
"May 21, 2021","1.04049","1.15797","1.22259","0.89620","71.16M","-10.09%"
"May 20, 2021","1.15722","0.98960","1.19427","0.88858","70.14M","16.94%"
"May 19, 2021","0.98960","1.60110","1.63821","0.79799","87.59M","-38.18%"
"May 18, 2021","1.60087","1.46805","1.69817","1.44991","44.84M","9.10%"
"May 17, 2021","1.46732","1.56898","1.57232","1.39575","36.87M","-6.60%"
