"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 20, 2021","0.14737","0.15022","0.15107","0.14733","13.75M","-1.90%"
"Aug 19, 2021","0.15022","0.14790","0.15182","0.13547","14.91M","1.57%"
"Aug 18, 2021","0.14789","0.14514","0.15417","0.13620","17.11M","1.89%"
"Aug 17, 2021","0.14514","0.14314","0.15479","0.14029","15.06M","1.41%"
"Aug 16, 2021","0.14312","0.14624","0.14902","0.14192","21.19M","-2.13%"
"Aug 15, 2021","0.14624","0.13580","0.14941","0.13179","12.39M","7.69%"
"Aug 14, 2021","0.13580","0.13809","0.14610","0.12534","36.39M","-1.66%"
"Aug 13, 2021","0.13809","0.12899","0.14354","0.12869","23.34M","7.01%"
"Aug 12, 2021","0.12905","0.14000","0.14215","0.12639","17.51M","-7.82%"
"Aug 11, 2021","0.14000","0.13740","0.14554","0.13609","16.96M","1.89%"
"Aug 10, 2021","0.13741","0.13505","0.14124","0.13059","16.93M","1.74%"
"Aug 09, 2021","0.13505","0.12219","0.15454","0.11812","33.55M","10.55%"
"Aug 08, 2021","0.12216","0.12507","0.12983","0.12049","18.76M","-2.36%"
"Aug 07, 2021","0.12511","0.11635","0.12630","0.11505","25.24M","7.53%"
"Aug 06, 2021","0.11635","0.11218","0.11772","0.10679","24.34M","3.71%"
"Aug 05, 2021","0.11218","0.11064","0.11609","0.10158","30.73M","1.35%"
"Aug 04, 2021","0.11069","0.10239","0.11083","0.10118","21.75M","8.10%"
"Aug 03, 2021","0.10239","0.10808","0.10861","0.10120","17.58M","-5.29%"
"Aug 02, 2021","0.10811","0.10135","0.11030","0.09941","18.77M","6.66%"
"Aug 01, 2021","0.10135","0.10355","0.10943","0.10048","21.86M","-2.12%"
"Jul 31, 2021","0.10355","0.09876","0.10366","0.09370","17.31M","4.85%"
"Jul 30, 2021","0.09876","0.09971","0.10613","0.09530","22.66M","-0.95%"
"Jul 29, 2021","0.09971","0.09759","0.10166","0.09522","14.94M","2.17%"
"Jul 28, 2021","0.09759","0.09781","0.10303","0.09616","16.53M","-0.20%"
"Jul 27, 2021","0.09779","0.09441","0.10096","0.09320","21.07M","3.59%"
"Jul 26, 2021","0.09441","0.09105","0.09627","0.09095","46.54M","3.68%"
"Jul 25, 2021","0.09105","0.09330","0.09828","0.08902","17.00M","-1.96%"
"Jul 24, 2021","0.09287","0.08852","0.09957","0.08769","19.85M","4.91%"
"Jul 23, 2021","0.08852","0.08558","0.10685","0.08536","16.78M","3.43%"
"Jul 22, 2021","0.08558","0.11255","0.11255","0.07192","15.43M","-23.96%"
"Jul 21, 2021","0.11255","0.07298","0.11255","0.07268","26.26M","54.22%"
"Jul 20, 2021","0.07298","0.08337","0.08795","0.06401","24.22M","-12.46%"
"Jul 19, 2021","0.08337","0.08956","0.09088","0.08326","23.14M","-6.94%"
"Jul 18, 2021","0.08959","0.09477","0.09704","0.08682","16.66M","-5.46%"
"Jul 17, 2021","0.09477","0.09432","0.10016","0.09041","13.75M","0.47%"
"Jul 16, 2021","0.09432","0.09893","0.09912","0.09209","18.69M","-4.59%"
"Jul 15, 2021","0.09886","0.09983","0.10137","0.09681","17.58M","-0.98%"
"Jul 14, 2021","0.09984","0.11024","0.11035","0.09789","19.23M","-9.43%"
"Jul 13, 2021","0.11024","0.09713","0.11771","0.09693","13.05M","13.50%"
"Jul 12, 2021","0.09713","0.10476","0.11874","0.09605","22.49M","-7.29%"
"Jul 11, 2021","0.10476","0.10240","0.11116","0.09891","17.42M","2.31%"
"Jul 10, 2021","0.10240","0.10251","0.10779","0.09942","14.24M","-0.11%"
"Jul 09, 2021","0.10251","0.09999","0.11683","0.09753","15.08M","2.52%"
"Jul 08, 2021","0.09999","0.10466","0.10773","0.09737","22.62M","-4.46%"
"Jul 07, 2021","0.10466","0.10842","0.11628","0.10435","22.38M","-3.46%"
"Jul 06, 2021","0.10842","0.10254","0.13041","0.09997","17.06M","5.73%"
"Jul 05, 2021","0.10254","0.10814","0.11703","0.09704","25.33M","-5.18%"
