"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 20, 2021","27.71","27.43","27.73","27.27","32.29K","1.05%"
"Aug 19, 2021","27.43","26.36","27.43","25.81","31.68K","4.05%"
"Aug 18, 2021","26.36","26.84","28.47","25.69","59.68K","-1.78%"
"Aug 17, 2021","26.84","27.52","29.61","26.83","99.56K","-2.48%"
"Aug 16, 2021","27.52","28.14","28.47","27.44","58.77K","-2.23%"
"Aug 15, 2021","28.14","28.42","28.42","27.39","53.67K","-0.96%"
"Aug 14, 2021","28.42","28.38","29.68","27.54","81.64K","0.13%"
"Aug 13, 2021","28.38","26.93","28.40","26.63","36.76K","5.40%"
"Aug 12, 2021","26.93","28.34","28.70","26.09","49.62K","-4.98%"
"Aug 11, 2021","28.34","28.50","29.23","27.51","77.83K","-0.81%"
"Aug 10, 2021","28.57","27.12","28.77","26.64","60.54K","5.35%"
"Aug 09, 2021","27.12","26.37","27.44","25.58","69.51K","2.85%"
"Aug 08, 2021","26.37","26.90","28.67","26.21","116.67K","-1.98%"
"Aug 07, 2021","26.90","26.32","27.24","26.18","64.37K","2.21%"
"Aug 06, 2021","26.32","26.32","27.25","25.70","38.97K","-0.03%"
"Aug 05, 2021","26.32","26.43","26.43","25.35","40.38K","-0.36%"
"Aug 04, 2021","26.42","24.93","26.85","24.89","46.15K","5.95%"
"Aug 03, 2021","24.93","26.52","26.53","24.69","35.87K","-5.97%"
"Aug 02, 2021","26.52","25.07","29.75","24.95","162.13K","5.83%"
"Aug 01, 2021","25.06","26.89","26.89","25.01","49.66K","-6.80%"
"Jul 31, 2021","26.88","26.76","27.38","26.22","59.85K","0.48%"
"Jul 30, 2021","26.76","26.24","26.76","25.09","64.70K","1.93%"
"Jul 29, 2021","26.25","26.92","26.97","25.81","51.06K","-2.48%"
"Jul 28, 2021","26.91","27.63","28.05","26.23","77.53K","-2.49%"
"Jul 27, 2021","27.60","28.35","29.00","25.55","112.31K","-2.57%"
"Jul 26, 2021","28.33","31.46","32.73","27.44","226.14K","-9.92%"
"Jul 25, 2021","31.45","31.68","33.99","28.41","490.76K","38.49%"
"Jul 24, 2021","22.71","17.22","25.45","17.22","256.13K","31.94%"
"Jul 23, 2021","17.21","17.04","17.26","16.37","55.99K","0.97%"
"Jul 22, 2021","17.05","16.87","17.26","16.33","68.44K","1.07%"
"Jul 21, 2021","16.87","16.04","16.96","15.29","64.32K","5.21%"
"Jul 20, 2021","16.03","17.19","18.72","15.35","100.21K","-6.77%"
"Jul 19, 2021","17.19","18.57","18.59","16.97","57.24K","-7.41%"
"Jul 18, 2021","18.57","19.53","20.23","18.29","78.68K","-4.86%"
"Jul 17, 2021","19.52","20.97","24.19","19.28","127.47K","-6.89%"
"Jul 16, 2021","20.96","18.00","22.06","17.49","185.74K","16.49%"
"Jul 15, 2021","17.99","18.23","19.76","17.22","103.14K","-1.31%"
"Jul 14, 2021","18.23","16.85","21.16","16.63","147.45K","8.28%"
"Jul 13, 2021","16.84","16.32","16.85","16.03","70.01K","3.21%"
"Jul 12, 2021","16.32","17.62","17.64","15.56","75.95K","-7.38%"
"Jul 11, 2021","17.62","16.25","18.34","16.04","108.92K","8.37%"
"Jul 10, 2021","16.25","16.71","17.38","16.14","36.40K","-2.73%"
"Jul 09, 2021","16.71","17.23","17.24","16.10","57.34K","-3.02%"
"Jul 08, 2021","17.23","19.06","19.36","16.99","64.75K","-9.56%"
"Jul 07, 2021","19.05","18.65","19.06","18.15","85.39K","2.18%"
"Jul 06, 2021","18.65","18.42","19.61","18.01","56.75K","1.28%"
"Jul 05, 2021","18.41","20.42","20.73","18.35","46.55K","-9.84%"
"Jul 04, 2021","20.42","18.27","21.60","15.98","177.62K","11.76%"
"Jul 03, 2021","18.27","18.96","19.13","18.00","100.52K","-3.61%"
"Jul 02, 2021","18.96","20.16","20.94","18.07","140.55K","-5.98%"
"Jul 01, 2021","20.16","24.47","24.84","20.11","215.21K","-17.60%"
"Jun 30, 2021","24.47","16.16","25.65","16.06","543.00K","51.51%"
"Jun 29, 2021","16.15","15.07","16.70","14.90","98.37K","7.23%"
"Jun 28, 2021","15.06","14.35","15.78","14.12","158.52K","4.93%"
"Jun 27, 2021","14.35","12.16","14.40","12.01","166.05K","18.01%"
"Jun 26, 2021","12.16","12.55","12.68","11.45","93.85K","-3.28%"
"Jun 25, 2021","12.57","13.50","13.81","12.31","93.54K","-6.83%"
"Jun 24, 2021","13.50","12.41","13.65","11.80","136.65K","8.82%"
"Jun 23, 2021","12.40","12.00","13.13","11.62","152.98K","3.40%"
"Jun 22, 2021","11.99","13.09","13.64","10.55","233.98K","-8.32%"
"Jun 21, 2021","13.08","17.47","17.47","13.04","122.25K","-25.11%"
"Jun 20, 2021","17.47","17.82","18.12","16.59","62.29K","-2.00%"
"Jun 19, 2021","17.82","19.35","19.73","17.65","64.80K","-7.89%"
"Jun 18, 2021","19.35","19.90","20.76","19.00","110.18K","-2.70%"
"Jun 17, 2021","19.89","19.61","20.28","18.59","63.77K","1.54%"
"Jun 16, 2021","19.59","21.07","21.32","19.52","62.32K","-7.02%"
"Jun 15, 2021","21.07","21.87","22.51","20.81","65.25K","-3.66%"
"Jun 14, 2021","21.87","21.52","22.26","20.99","68.45K","1.69%"
"Jun 13, 2021","21.50","19.45","21.53","19.02","70.78K","10.55%"
