"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 20, 2021","2.65098","2.65867","2.75244","2.64127","932.41K","-0.29%"
"Aug 19, 2021","2.65867","2.53903","2.67573","2.42388","955.39K","4.83%"
"Aug 18, 2021","2.53618","2.52351","2.63985","2.40737","1.46M","0.54%"
"Aug 17, 2021","2.52260","2.76771","2.84585","2.51486","1.12M","-8.89%"
"Aug 16, 2021","2.76863","2.91959","3.03061","2.73999","1.18M","-5.17%"
"Aug 15, 2021","2.91959","2.66100","3.09802","2.65736","2.05M","9.72%"
"Aug 14, 2021","2.66100","2.75549","2.78921","2.56766","1.01M","-3.43%"
"Aug 13, 2021","2.75549","2.53962","2.77595","2.53198","1.06M","8.42%"
"Aug 12, 2021","2.54149","2.56413","2.72977","2.42408","1.28M","-0.92%"
"Aug 11, 2021","2.56506","2.52242","2.76558","2.49826","1.67M","1.69%"
"Aug 10, 2021","2.52242","2.57953","2.64148","2.44107","1.38M","-2.21%"
"Aug 09, 2021","2.57953","2.45366","2.72212","2.33622","1.97M","5.13%"
"Aug 08, 2021","2.45366","2.51462","2.96225","2.41855","2.86M","-2.42%"
"Aug 07, 2021","2.51462","2.23672","2.51691","2.22368","1.86M","12.47%"
"Aug 06, 2021","2.23577","2.12550","2.26286","2.08275","1.34M","5.10%"
"Aug 05, 2021","2.12737","2.09481","2.16157","1.99621","1.16M","1.51%"
"Aug 04, 2021","2.09577","2.03931","2.12941","1.98025","1.07M","2.77%"
"Aug 03, 2021","2.03929","2.10336","2.18858","1.99359","1.43M","-3.27%"
"Aug 02, 2021","2.10813","2.02624","2.23246","1.97345","1.62M","3.85%"
"Aug 01, 2021","2.03000","2.16230","2.24323","2.00849","1.44M","-6.12%"
"Jul 31, 2021","2.16230","2.14788","2.21383","2.09821","1.35M","0.67%"
"Jul 30, 2021","2.14788","1.94611","2.14856","1.92675","1.53M","10.38%"
"Jul 29, 2021","1.94587","1.90520","1.96795","1.85684","949.00K","2.08%"
"Jul 28, 2021","1.90614","1.96912","1.97850","1.82537","1.17M","-3.20%"
"Jul 27, 2021","1.96912","1.80732","1.98856","1.72686","1.34M","8.95%"
"Jul 26, 2021","1.80732","1.77776","2.02560","1.76979","1.91M","1.67%"
"Jul 25, 2021","1.77758","1.73620","1.77758","1.71967","849.52K","0.78%"
"Jul 24, 2021","1.76381","1.74627","1.76974","1.71630","834.46K","1.06%"
"Jul 23, 2021","1.74537","1.68864","1.74603","1.63459","650.75K","3.36%"
"Jul 22, 2021","1.68864","1.68622","1.70851","1.63763","742.42K","0.04%"
"Jul 21, 2021","1.68802","1.53590","1.69956","1.50962","1.11M","9.90%"
"Jul 20, 2021","1.53590","1.70083","1.70889","1.50565","1.08M","-9.70%"
"Jul 19, 2021","1.70083","1.76730","1.80647","1.65192","721.25K","-3.76%"
"Jul 18, 2021","1.76730","1.74487","1.92261","1.72915","1.02M","1.29%"
"Jul 17, 2021","1.74487","1.71713","1.74678","1.68565","701.52K","1.62%"
"Jul 16, 2021","1.71713","1.79414","1.83794","1.69037","754.46K","-4.29%"
"Jul 15, 2021","1.79414","1.93678","1.95362","1.78110","763.99K","-7.36%"
