"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 20, 2021","65.11","63.94","67.38","63.48","88.76K","1.70%"
"Aug 19, 2021","64.02","60.89","64.04","59.02","85.57K","5.15%"
"Aug 18, 2021","60.89","61.80","63.29","58.36","111.61K","-1.48%"
"Aug 17, 2021","61.80","66.81","69.70","61.53","120.14K","-7.50%"
"Aug 16, 2021","66.81","70.53","70.81","66.48","98.07K","-5.28%"
"Aug 15, 2021","70.53","63.80","71.90","63.58","142.93K","10.46%"
"Aug 14, 2021","63.85","62.66","64.40","60.12","117.46K","1.90%"
"Aug 13, 2021","62.67","58.16","62.82","57.47","102.80K","7.75%"
"Aug 12, 2021","58.16","60.16","63.35","57.08","125.04K","-3.31%"
"Aug 11, 2021","60.15","59.25","62.07","58.64","98.66K","1.60%"
"Aug 10, 2021","59.20","59.55","60.68","57.50","100.53K","-0.56%"
"Aug 09, 2021","59.53","56.06","60.38","54.34","128.84K","6.16%"
"Aug 08, 2021","56.08","59.23","60.62","55.45","139.21K","-5.44%"
"Aug 07, 2021","59.31","56.05","59.40","55.53","121.80K","5.81%"
"Aug 06, 2021","56.05","54.73","57.13","53.68","128.10K","2.38%"
"Aug 05, 2021","54.75","54.47","55.43","51.51","123.34K","0.59%"
"Aug 04, 2021","54.43","53.23","54.63","50.87","106.82K","2.26%"
"Aug 03, 2021","53.23","54.92","58.89","52.47","132.37K","-3.09%"
"Aug 02, 2021","54.93","50.11","60.83","48.51","207.96K","9.58%"
"Aug 01, 2021","50.12","51.64","54.16","49.37","120.92K","-2.93%"
"Jul 31, 2021","51.64","52.36","54.77","50.60","116.13K","-1.38%"
"Jul 30, 2021","52.36","46.75","53.22","46.42","191.84K","12.00%"
"Jul 29, 2021","46.75","46.80","47.15","45.66","113.19K","-0.10%"
"Jul 28, 2021","46.80","46.88","48.25","45.64","113.30K","-0.14%"
"Jul 27, 2021","46.87","43.86","50.41","43.22","141.33K","6.61%"
"Jul 26, 2021","43.96","43.27","50.63","42.73","154.65K","1.63%"
"Jul 25, 2021","43.26","42.48","43.26","40.76","95.29K","7.48%"
"Jul 24, 2021","40.25","40.60","40.96","39.78","71.93K","-0.69%"
"Jul 23, 2021","40.53","38.17","40.56","37.64","81.83K","6.17%"
"Jul 22, 2021","38.17","37.72","38.87","36.98","87.86K","1.19%"
"Jul 21, 2021","37.72","34.79","38.15","33.88","103.99K","8.44%"
"Jul 20, 2021","34.79","37.28","38.69","33.74","99.42K","-6.69%"
"Jul 19, 2021","37.28","38.20","40.28","36.81","90.40K","-2.41%"
"Jul 18, 2021","38.20","37.57","41.01","37.51","94.05K","1.55%"
"Jul 17, 2021","37.62","37.35","38.28","36.30","81.25K","0.74%"
"Jul 16, 2021","37.35","40.15","40.62","37.12","96.06K","-6.99%"
"Jul 15, 2021","40.15","42.70","42.87","39.54","84.59K","-5.98%"
