"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 20, 2021","0.000367","0.000361","0.000368","0.000361","5.30M","1.78%"
"Aug 19, 2021","0.000361","0.000354","0.000374","0.000337","4.63M","1.94%"
"Aug 18, 2021","0.000354","0.000371","0.000385","0.000354","6.35M","-4.60%"
"Aug 17, 2021","0.000371","0.000380","0.000391","0.000370","2.73M","-2.37%"
"Aug 16, 2021","0.000380","0.000402","0.000402","0.000370","13.71M","-5.47%"
"Aug 15, 2021","0.000402","0.000390","0.000402","0.000374","16.36M","3.16%"
"Aug 14, 2021","0.000390","0.000380","0.000409","0.000377","19.09M","2.61%"
"Aug 13, 2021","0.000380","0.000375","0.000396","0.000364","13.88M","1.20%"
"Aug 12, 2021","0.000375","0.000397","0.000418","0.000363","10.97M","-5.46%"
"Aug 11, 2021","0.000397","0.000357","0.000426","0.000354","41.06M","11.20%"
"Aug 10, 2021","0.000357","0.000377","0.000384","0.000355","24.78M","-5.31%"
"Aug 09, 2021","0.000377","0.000365","0.000385","0.000356","4.16M","3.37%"
"Aug 08, 2021","0.000365","0.000394","0.000406","0.000350","19.20M","-7.43%"
"Aug 07, 2021","0.000394","0.000395","0.000399","0.000380","2.81M","-0.26%"
"Aug 06, 2021","0.000395","0.000384","0.000400","0.000373","4.01M","2.86%"
"Aug 05, 2021","0.000384","0.000383","0.000390","0.000373","4.30M","0.26%"
"Aug 04, 2021","0.000383","0.000371","0.000384","0.000358","763.50K","3.23%"
"Aug 03, 2021","0.000371","0.000372","0.000386","0.000360","8.87M","-0.38%"
"Aug 02, 2021","0.000372","0.000379","0.000392","0.000371","10.30M","-1.74%"
"Aug 01, 2021","0.000379","0.000405","0.000409","0.000379","1.64M","-6.42%"
"Jul 31, 2021","0.000405","0.000400","0.000411","0.000383","3.82M","1.25%"
"Jul 30, 2021","0.000400","0.000406","0.000409","0.000380","105.08M","-1.45%"
"Jul 29, 2021","0.000406","0.000353","0.000495","0.000353","123.30M","14.85%"
"Jul 28, 2021","0.000353","0.000349","0.000365","0.000343","45.03M","1.19%"
"Jul 27, 2021","0.000349","0.000342","0.000355","0.000335","13.92M","2.23%"
"Jul 26, 2021","0.000342","0.000328","0.000376","0.000328","88.36M","4.15%"
"Jul 25, 2021","0.000328","0.000338","0.000338","0.000317","37.89M","-2.07%"
"Jul 24, 2021","0.000335","0.000322","0.000336","0.000321","4.24M","4.34%"
"Jul 23, 2021","0.000321","0.000300","0.000322","0.000300","20.46M","6.93%"
"Jul 22, 2021","0.000300","0.000306","0.000317","0.000300","9.46M","-2.00%"
"Jul 21, 2021","0.000306","0.000299","0.000317","0.000295","9.42M","2.53%"
"Jul 20, 2021","0.000299","0.000303","0.000303","0.000289","7.68M","-1.46%"
"Jul 19, 2021","0.000303","0.000309","0.000313","0.000302","10.56M","-1.89%"
"Jul 18, 2021","0.000309","0.000323","0.000327","0.000300","322.75M","-4.27%"
"Jul 17, 2021","0.000323","0.000324","0.000338","0.000319","14.37M","-0.28%"
"Jul 16, 2021","0.000324","0.000342","0.000346","0.000324","8.06M","-5.36%"
"Jul 15, 2021","0.000342","0.000355","0.000359","0.000336","24.23M","-3.65%"
"Jul 14, 2021","0.000355","0.000360","0.000366","0.000352","23.08M","-1.39%"
