"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 20, 2021","167.2590","166.3916","169.8596","166.0436","24.75K","0.52%"
"Aug 19, 2021","166.3875","165.4759","168.0410","156.7044","28.68K","0.55%"
"Aug 18, 2021","165.4763","169.8764","171.1006","163.9127","25.30K","-2.59%"
"Aug 17, 2021","169.8754","179.2244","184.9493","169.5533","26.06K","-5.22%"
"Aug 16, 2021","179.2233","172.5931","183.6684","172.1749","24.92K","3.84%"
"Aug 15, 2021","172.5934","170.8033","173.8943","165.2811","25.13K","1.05%"
"Aug 14, 2021","170.8033","173.5909","174.3386","161.5005","23.93K","-1.61%"
"Aug 13, 2021","173.5910","158.8193","173.8463","157.5760","192.42K","9.32%"
"Aug 12, 2021","158.7910","162.6109","166.2653","151.2705","32.42K","-2.35%"
"Aug 11, 2021","162.6085","162.1974","167.2786","160.1499","25.90K","0.25%"
"Aug 10, 2021","162.1967","157.8559","165.2107","155.7283","29.88K","2.75%"
"Aug 09, 2021","157.8559","150.9127","158.7962","146.3815","32.77K","4.64%"
"Aug 08, 2021","150.8503","144.5624","154.3574","139.2350","35.86K","4.45%"
"Aug 07, 2021","144.4297","144.1426","150.2402","136.7181","35.09K","0.20%"
"Aug 06, 2021","144.1405","141.7436","144.8287","136.9794","38.35K","1.69%"
"Aug 05, 2021","141.7458","138.0199","143.2843","132.7250","34.39K","2.70%"
"Aug 04, 2021","138.0195","129.6987","138.7658","129.2195","32.50K","6.42%"
"Aug 03, 2021","129.6987","135.8144","136.5770","127.6889","39.11K","-4.51%"
"Aug 02, 2021","135.8181","152.8015","153.6272","135.7661","40.89K","-11.16%"
"Aug 01, 2021","152.8853","156.9393","161.7501","152.1477","30.63K","-2.58%"
"Jul 31, 2021","156.9358","154.0291","159.3193","148.8506","31.09K","1.89%"
"Jul 30, 2021","154.0287","143.4797","154.0287","132.8644","31.59K","7.35%"
"Jul 29, 2021","143.4771","133.5973","144.5655","131.4592","26.86K","7.39%"
"Jul 28, 2021","133.5991","131.7485","139.0567","130.7667","35.32K","1.67%"
"Jul 27, 2021","131.3996","133.8475","139.8608","126.9536","25.07K","-1.91%"
"Jul 26, 2021","133.9513","131.2925","143.2880","130.8880","28.56K","2.03%"
"Jul 25, 2021","131.2925","127.7507","131.2987","125.5644","24.05K","6.97%"
"Jul 24, 2021","122.7406","121.2503","123.7729","120.4219","27.44K","1.23%"
"Jul 23, 2021","121.2449","119.2918","121.2891","114.1606","25.73K","1.64%"
"Jul 22, 2021","119.2911","108.4974","119.8586","107.3781","30.02K","9.95%"
"Jul 21, 2021","108.4918","97.2293","109.5758","95.8464","35.35K","11.57%"
"Jul 20, 2021","97.2380","105.5794","106.1026","92.2326","32.21K","-7.90%"
"Jul 19, 2021","105.5794","114.8489","115.5561","104.9922","29.93K","-8.07%"
"Jul 18, 2021","114.8489","115.0373","118.9691","113.5307","23.16K","-0.16%"
"Jul 17, 2021","115.0349","113.6066","116.4219","109.8513","23.77K","1.26%"
"Jul 16, 2021","113.6066","114.6012","116.7719","112.5136","25.70K","-0.87%"
"Jul 15, 2021","114.6010","118.3803","119.6755","113.3805","23.86K","-3.19%"
"Jul 14, 2021","118.3801","127.1019","127.3683","113.8575","28.50K","-6.86%"
"Jul 13, 2021","127.1014","130.6898","130.7405","126.2671","25.61K","-2.74%"
"Jul 12, 2021","130.6869","132.3279","139.0235","126.7741","23.59K","-1.24%"
"Jul 11, 2021","132.3279","128.6232","134.1247","126.2276","26.44K","2.88%"
"Jul 10, 2021","128.6236","125.5927","132.8035","124.1504","25.72K","2.41%"
