"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 20, 2021","0.065582","0.064871","0.065816","0.064590","88.39M","1.10%"
"Aug 19, 2021","0.064871","0.063612","0.065430","0.061483","96.06M","1.98%"
"Aug 18, 2021","0.063612","0.062098","0.065176","0.059202","112.54M","2.44%"
"Aug 17, 2021","0.062098","0.067927","0.070889","0.061320","112.85M","-8.58%"
"Aug 16, 2021","0.067927","0.069487","0.072550","0.067497","101.38M","-2.27%"
"Aug 15, 2021","0.069508","0.068729","0.069773","0.065602","79.56M","1.13%"
"Aug 14, 2021","0.068729","0.069895","0.070822","0.066191","112.44M","-1.66%"
"Aug 13, 2021","0.069886","0.060177","0.071960","0.060151","317.07M","16.13%"
"Aug 12, 2021","0.060177","0.062486","0.065039","0.058033","117.63M","-3.70%"
"Aug 11, 2021","0.062486","0.058376","0.065891","0.058218","141.36M","7.04%"
"Aug 10, 2021","0.058376","0.056799","0.058998","0.055595","93.15M","2.79%"
"Aug 09, 2021","0.056790","0.052445","0.057397","0.051614","94.76M","8.54%"
"Aug 08, 2021","0.052320","0.056434","0.056553","0.052206","103.41M","-7.29%"
"Aug 07, 2021","0.056434","0.054209","0.057778","0.053548","150.93M","4.10%"
"Aug 06, 2021","0.054209","0.051880","0.054304","0.050659","109.64M","4.43%"
"Aug 05, 2021","0.051907","0.051739","0.052562","0.048910","105.06M","0.42%"
"Aug 04, 2021","0.051692","0.049046","0.052583","0.047346","100.48M","5.62%"
"Aug 03, 2021","0.048941","0.049996","0.050666","0.047566","101.46M","-2.11%"
"Aug 02, 2021","0.049996","0.051641","0.053842","0.049511","159.90M","-3.17%"
"Aug 01, 2021","0.051632","0.045877","0.054554","0.045681","308.91M","12.68%"
"Jul 31, 2021","0.045822","0.045341","0.047181","0.044569","86.92M","1.04%"
"Jul 30, 2021","0.045350","0.044011","0.045459","0.042195","77.73M","3.04%"
"Jul 29, 2021","0.044011","0.043003","0.044484","0.041882","49.84M","2.47%"
"Jul 28, 2021","0.042948","0.043898","0.044435","0.042250","64.19M","-2.08%"
"Jul 27, 2021","0.043862","0.042294","0.043979","0.040872","79.61M","3.73%"
