"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 20, 2021","0.1880","0.1953","0.1953","0.1871","154.87K","-3.73%"
"Aug 19, 2021","0.1953","0.1753","0.1953","0.1703","145.63K","11.38%"
"Aug 18, 2021","0.1753","0.1750","0.1779","0.1710","54.26K","0.17%"
"Aug 17, 2021","0.1750","0.1851","0.1916","0.1750","226.25K","-5.45%"
"Aug 16, 2021","0.1851","0.1962","0.1965","0.1812","207.19K","-5.66%"
"Aug 15, 2021","0.1962","0.1918","0.1970","0.1793","280.30K","2.30%"
"Aug 14, 2021","0.1918","0.1833","0.1975","0.1799","372.40K","4.64%"
"Aug 13, 2021","0.1833","0.1721","0.1916","0.1699","260.74K","6.50%"
"Aug 12, 2021","0.1721","0.1670","0.1769","0.1601","241.53K","3.06%"
"Aug 11, 2021","0.1670","0.1479","0.1888","0.1466","710.16K","12.92%"
"Aug 10, 2021","0.1479","0.1469","0.1504","0.1403","323.12K","0.66%"
"Aug 09, 2021","0.1469","0.1319","0.1500","0.1307","349.67K","11.40%"
"Aug 08, 2021","0.1319","0.1367","0.1434","0.1312","317.35K","-3.51%"
"Aug 07, 2021","0.1367","0.1380","0.1458","0.1361","291.43K","-0.96%"
"Aug 06, 2021","0.1380","0.1322","0.1398","0.1269","226.26K","4.42%"
"Aug 05, 2021","0.1322","0.1296","0.1326","0.1176","305.08K","1.95%"
"Aug 04, 2021","0.1296","0.1230","0.1314","0.1226","219.12K","5.42%"
"Aug 03, 2021","0.1230","0.1274","0.1317","0.1230","222.23K","-3.43%"
"Aug 02, 2021","0.1274","0.1295","0.1390","0.1264","326.56K","-1.65%"
"Aug 01, 2021","0.1295","0.1313","0.1389","0.1272","241.18K","-1.34%"
"Jul 31, 2021","0.1313","0.1304","0.1388","0.1287","294.38K","0.62%"
"Jul 30, 2021","0.1304","0.1230","0.1331","0.1203","224.08K","6.03%"
"Jul 29, 2021","0.1230","0.1244","0.1314","0.1201","155.64K","-1.10%"
"Jul 28, 2021","0.1244","0.1259","0.1303","0.1221","229.73K","-1.22%"
"Jul 27, 2021","0.1259","0.1266","0.1299","0.1184","145.61K","-0.54%"
"Jul 26, 2021","0.1266","0.1260","0.1407","0.1161","463.15K","0.51%"
"Jul 25, 2021","0.1260","0.1199","0.1274","0.1110","177.19K","0.29%"
"Jul 24, 2021","0.1256","0.1219","0.1289","0.1064","217.13K","3.05%"
"Jul 23, 2021","0.1219","0.1229","0.1248","0.1073","155.69K","-0.87%"
"Jul 22, 2021","0.1229","0.1174","0.1256","0.1073","218.22K","4.68%"
"Jul 21, 2021","0.1174","0.1060","0.1188","0.1031","388.27K","10.49%"
"Jul 20, 2021","0.1063","0.1201","0.1213","0.0977","777.46K","-11.47%"
"Jul 19, 2021","0.1201","0.1285","0.1289","0.1177","296.97K","-6.60%"
"Jul 18, 2021","0.1285","0.1314","0.1390","0.1250","343.85K","-2.17%"
"Jul 17, 2021","0.1314","0.1332","0.1354","0.1310","243.87K","-1.38%"
"Jul 16, 2021","0.1332","0.1353","0.1400","0.1312","394.99K","-1.56%"
"Jul 15, 2021","0.1353","0.1421","0.1441","0.1346","196.15K","-4.75%"
"Jul 14, 2021","0.1421","0.1398","0.1443","0.1341","259.26K","1.66%"
"Jul 13, 2021","0.1398","0.1378","0.1454","0.1345","333.36K","1.45%"
"Jul 12, 2021","0.1378","0.1597","0.1624","0.1359","468.80K","-13.72%"
"Jul 11, 2021","0.1597","0.1527","0.1643","0.1478","120.35K","4.60%"
"Jul 10, 2021","0.1527","0.1481","0.1696","0.1449","379.45K","3.11%"
"Jul 09, 2021","0.1481","0.1460","0.1521","0.1417","232.23K","1.40%"
"Jul 08, 2021","0.1460","0.1523","0.1542","0.1455","111.52K","-4.11%"
"Jul 07, 2021","0.1523","0.1599","0.1626","0.1493","309.81K","-4.66%"
"Jul 06, 2021","0.1597","0.1646","0.1695","0.1594","115.30K","-2.98%"
"Jul 05, 2021","0.1646","0.1619","0.1750","0.1607","172.06K","1.67%"
"Jul 04, 2021","0.1619","0.1767","0.1770","0.1609","211.62K","-8.36%"
