"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 20, 2021","0.19884","0.20099","0.20153","0.19770","14.54M","-1.07%"
"Aug 19, 2021","0.20099","0.19080","0.20099","0.18530","16.14M","5.29%"
"Aug 18, 2021","0.19089","0.19618","0.19854","0.18294","36.42M","-2.66%"
"Aug 17, 2021","0.19611","0.21405","0.21669","0.19417","52.14M","-8.42%"
"Aug 16, 2021","0.21414","0.21772","0.22888","0.21252","63.52M","-1.65%"
"Aug 15, 2021","0.21772","0.21304","0.21938","0.20401","53.38M","2.20%"
"Aug 14, 2021","0.21304","0.20319","0.21531","0.19495","54.63M","4.83%"
"Aug 13, 2021","0.20323","0.18772","0.20344","0.18554","56.07M","8.26%"
"Aug 12, 2021","0.18772","0.19560","0.20398","0.18092","92.26M","-4.03%"
"Aug 11, 2021","0.19560","0.18821","0.20473","0.18727","110.79M","3.92%"
"Aug 10, 2021","0.18821","0.18286","0.19128","0.17746","106.00M","2.93%"
"Aug 09, 2021","0.18286","0.17528","0.18705","0.16930","63.35M","4.39%"
"Aug 08, 2021","0.17517","0.18602","0.18889","0.17299","80.00M","-5.80%"
"Aug 07, 2021","0.18595","0.17277","0.18682","0.17103","87.82M","7.71%"
"Aug 06, 2021","0.17264","0.16858","0.17417","0.16509","45.59M","2.40%"
"Aug 05, 2021","0.16859","0.16586","0.16979","0.15942","45.26M","1.65%"
"Aug 04, 2021","0.16586","0.16234","0.16797","0.15738","35.27M","2.26%"
"Aug 03, 2021","0.16220","0.16971","0.17186","0.15779","50.96M","-4.43%"
"Aug 02, 2021","0.16971","0.16917","0.17354","0.16526","51.81M","0.22%"
"Aug 01, 2021","0.16934","0.17560","0.18532","0.16776","67.27M","-3.64%"
"Jul 31, 2021","0.17573","0.17331","0.17890","0.16697","74.95M","1.44%"
"Jul 30, 2021","0.17323","0.16789","0.17366","0.15739","68.26M","3.18%"
"Jul 29, 2021","0.16789","0.16073","0.16901","0.15650","68.01M","4.45%"
"Jul 28, 2021","0.16073","0.15941","0.16673","0.15514","94.07M","0.93%"
"Jul 27, 2021","0.15925","0.15144","0.16496","0.15002","136.53M","4.91%"
"Jul 26, 2021","0.15180","0.14885","0.17202","0.14784","137.22M","2.03%"
