"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 20, 2021","6.1618","6.0889","6.1664","6.0772","2.11M","1.20%"
"Aug 19, 2021","6.0889","5.6744","6.2365","5.5731","2.46M","7.30%"
"Aug 18, 2021","5.6744","5.8255","6.0641","5.5803","2.52M","-2.59%"
"Aug 17, 2021","5.8253","6.2239","6.4355","5.7469","2.88M","-6.40%"
"Aug 16, 2021","6.2239","6.3720","6.8120","6.1726","3.11M","-2.32%"
"Aug 15, 2021","6.3715","6.4378","6.4520","6.1077","2.07M","-1.03%"
"Aug 14, 2021","6.4379","6.7228","6.7290","6.1356","2.88M","-4.24%"
"Aug 13, 2021","6.7228","6.3608","6.7553","6.2011","8.27M","5.61%"
"Aug 12, 2021","6.3656","5.7496","7.0929","5.5921","16.68M","10.66%"
"Aug 11, 2021","5.7524","5.2934","5.9893","5.2934","4.86M","8.66%"
"Aug 10, 2021","5.2937","5.2008","5.3877","5.0692","2.46M","1.79%"
"Aug 09, 2021","5.2008","4.9051","5.3015","4.7162","2.26M","6.03%"
"Aug 08, 2021","4.9051","5.1344","5.5441","4.7907","4.02M","-4.46%"
"Aug 07, 2021","5.1339","4.7946","5.3263","4.7670","4.80M","7.08%"
"Aug 06, 2021","4.7946","4.5720","4.8093","4.4699","3.97M","4.87%"
"Aug 05, 2021","4.5720","4.5106","4.6866","4.3154","3.51M","1.36%"
"Aug 04, 2021","4.5106","4.2978","4.5481","4.2078","9.02M","4.95%"
"Aug 03, 2021","4.2978","4.3576","4.4379","4.1798","7.06M","-1.42%"
"Aug 02, 2021","4.3599","4.3284","4.5011","4.2134","1.86M","0.67%"
"Aug 01, 2021","4.3307","4.3467","4.6472","4.3123","3.60M","-0.44%"
"Jul 31, 2021","4.3498","4.3774","4.3954","4.2738","1.85M","-0.71%"
"Jul 30, 2021","4.3810","4.3432","4.4629","4.0650","3.42M","0.88%"
"Jul 29, 2021","4.3429","4.0370","4.4994","3.9870","11.42M","7.58%"
"Jul 28, 2021","4.0370","4.1275","4.1986","3.9643","2.44M","-2.09%"
"Jul 27, 2021","4.1232","4.0221","4.2984","3.8720","2.12M","2.48%"
"Jul 26, 2021","4.0235","3.9180","4.3604","3.9002","4.31M","2.73%"
"Jul 25, 2021","3.9167","3.8172","3.9314","3.7672","2.27M","-0.54%"
"Jul 24, 2021","3.9379","3.8389","3.9972","3.7428","2.42M","2.59%"
"Jul 23, 2021","3.8385","3.5441","3.8759","3.4719","1.98M","8.30%"
"Jul 22, 2021","3.5443","3.5351","3.6934","3.4176","1.80M","0.26%"
"Jul 21, 2021","3.5351","3.2326","3.7175","3.1200","3.13M","9.29%"
"Jul 20, 2021","3.2345","3.5188","3.5612","3.1137","3.18M","-8.05%"
"Jul 19, 2021","3.5178","3.7931","3.7990","3.5070","1.71M","-7.27%"
"Jul 18, 2021","3.7938","3.7549","3.9412","3.7077","1.42M","1.04%"
"Jul 17, 2021","3.7549","3.7515","3.8729","3.6881","1.57M","0.09%"
"Jul 16, 2021","3.7515","3.9931","4.0595","3.7490","2.50M","-6.05%"
"Jul 15, 2021","3.9931","4.1550","4.2702","3.9228","1.57M","-3.90%"
"Jul 14, 2021","4.1550","4.2158","4.2756","3.9418","1.82M","-1.43%"
"Jul 13, 2021","4.2155","4.3929","4.4168","4.1533","3.43M","-4.11%"
"Jul 12, 2021","4.3961","4.7747","4.9299","4.3635","3.51M","-7.97%"
"Jul 11, 2021","4.7767","4.3164","5.0580","4.3050","5.00M","10.66%"
"Jul 10, 2021","4.3164","4.4395","4.5532","4.2586","935.96K","-2.77%"
"Jul 09, 2021","4.4395","4.3688","4.5099","4.2135","1.45M","1.62%"
"Jul 08, 2021","4.3688","4.6316","4.6392","4.2928","2.02M","-5.63%"
"Jul 07, 2021","4.6296","4.6200","4.8218","4.5779","1.24M","0.21%"
"Jul 06, 2021","4.6200","4.5924","4.7736","4.5114","1.84M","0.60%"
"Jul 05, 2021","4.5924","4.9332","4.9332","4.5047","2.29M","-6.91%"
"Jul 04, 2021","4.9332","5.0361","5.0601","4.8573","1.90M","-2.04%"
"Jul 03, 2021","5.0361","4.8824","5.0515","4.7336","1.28M","3.15%"
"Jul 02, 2021","4.8824","4.8383","4.9330","4.5525","1.64M","0.92%"
"Jul 01, 2021","4.8380","5.1667","5.1704","4.6678","2.71M","-6.36%"
"Jun 30, 2021","5.1667","5.2418","5.3411","4.7969","3.99M","-1.27%"
"Jun 29, 2021","5.2332","4.8773","5.5283","4.8103","4.51M","7.30%"
"Jun 28, 2021","4.8773","4.9041","5.0048","4.6948","3.56M","-0.47%"
"Jun 27, 2021","4.9003","4.6090","4.9201","4.4249","2.88M","6.43%"
"Jun 26, 2021","4.6044","4.5845","4.7391","4.2668","4.63M","0.43%"
"Jun 25, 2021","4.5849","5.0124","5.5875","4.5745","6.99M","-8.54%"
"Jun 24, 2021","5.0127","4.6428","5.0945","4.3713","3.46M","7.93%"
"Jun 23, 2021","4.6446","4.2848","4.9062","4.1103","3.97M","8.43%"
"Jun 22, 2021","4.2835","4.6133","4.9806","3.7183","8.47M","-7.27%"
"Jun 21, 2021","4.6192","5.8431","5.8753","4.5999","5.44M","-20.95%"
"Jun 20, 2021","5.8431","5.7439","5.9331","5.3388","2.93M","1.73%"
"Jun 19, 2021","5.7439","5.9318","6.0460","5.7143","2.24M","-3.17%"
"Jun 18, 2021","5.9318","6.0331","6.0738","5.6186","3.09M","-1.64%"
"Jun 17, 2021","6.0305","6.0550","6.2794","5.9389","2.27M","-0.38%"
"Jun 16, 2021","6.0537","6.4296","6.5237","6.0157","2.18M","-5.85%"
"Jun 15, 2021","6.4296","6.9371","6.9603","6.3453","2.83M","-7.31%"
"Jun 14, 2021","6.9364","6.5291","6.9748","6.3427","2.94M","6.24%"
"Jun 13, 2021","6.5291","6.0767","6.5960","5.9230","2.62M","7.43%"
"Jun 12, 2021","6.0774","6.0828","6.3700","5.7530","3.18M","-0.09%"
"Jun 11, 2021","6.0828","6.4870","6.7296","6.0366","3.39M","-6.29%"
"Jun 10, 2021","6.4910","7.1409","7.1925","6.4886","3.32M","-9.10%"
"Jun 09, 2021","7.1409","6.9655","7.2149","6.5472","6.26M","2.52%"
"Jun 08, 2021","6.9655","6.8497","7.1977","6.1974","4.85M","1.68%"
"Jun 07, 2021","6.8502","7.5609","7.8274","6.7501","4.22M","-9.40%"
"Jun 06, 2021","7.5609","7.5033","7.7611","7.4734","3.29M","0.77%"
"Jun 05, 2021","7.5033","7.8143","8.4035","7.3289","6.80M","-4.00%"
"Jun 04, 2021","7.8157","8.9450","9.3715","7.7052","16.07M","-12.63%"
"Jun 03, 2021","8.9450","7.3870","9.1969","7.2603","6.77M","21.10%"
"Jun 02, 2021","7.3862","7.1456","7.5198","6.9846","2.44M","3.37%"
"Jun 01, 2021","7.1456","7.3337","7.6138","7.0114","4.57M","-2.57%"
"May 31, 2021","7.3341","6.8712","7.4717","6.5216","3.38M","6.75%"
"May 30, 2021","6.8701","6.6224","7.1595","6.1864","2.91M","3.75%"
"May 29, 2021","6.6218","6.9571","7.3075","6.2133","3.60M","-4.82%"
"May 28, 2021","6.9571","8.1535","8.2336","6.7098","5.20M","-14.67%"
"May 27, 2021","8.1535","8.1957","8.8704","7.4975","6.60M","-0.52%"
"May 26, 2021","8.1957","7.2234","8.4457","7.0521","6.37M","13.51%"
"May 25, 2021","7.2201","7.4172","7.6432","6.4733","5.79M","-2.59%"
"May 24, 2021","7.4122","5.7617","7.7853","5.5340","10.14M","28.64%"
"May 23, 2021","5.7618","6.6121","6.8821","4.6610","9.35M","-12.86%"
