"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 20, 2021","1.0456","1.0530","1.0638","1.0407","46.94M","-0.73%"
"Aug 19, 2021","1.0532","0.9845","1.0543","0.9650","51.35M","6.97%"
"Aug 18, 2021","0.9846","1.0049","1.0284","0.9450","46.12M","-2.08%"
"Aug 17, 2021","1.0055","1.0804","1.1088","0.9965","41.16M","-7.45%"
"Aug 16, 2021","1.0864","1.1313","1.1590","1.0537","-","-3.99%"
"Aug 15, 2021","1.1315","1.0848","1.1334","1.0207","39.86M","4.33%"
"Aug 14, 2021","1.0845","1.0669","1.0960","1.0236","48.77M","1.72%"
"Aug 13, 2021","1.0662","0.9719","1.0663","0.9530","45.53M","9.75%"
"Aug 12, 2021","0.9715","1.0173","1.0559","0.9222","47.66M","-4.52%"
"Aug 11, 2021","1.0174","0.9357","1.0601","0.9357","57.62M","8.77%"
"Aug 10, 2021","0.9354","0.9172","0.9458","0.8967","35.95M","1.99%"
"Aug 09, 2021","0.9172","0.8705","0.9232","0.8617","47.56M","5.61%"
"Aug 08, 2021","0.8684","0.9200","0.9382","0.8498","42.75M","-5.63%"
"Aug 07, 2021","0.9202","0.8824","0.9391","0.8693","51.76M","4.38%"
"Aug 06, 2021","0.8816","0.8543","0.8955","0.8305","43.07M","3.24%"
"Aug 05, 2021","0.8540","0.8480","0.8544","0.8058","39.27M","0.71%"
"Aug 04, 2021","0.8479","0.8201","0.8550","0.7895","36.67M","3.33%"
"Aug 03, 2021","0.8206","0.8186","0.8239","0.7745","27.43M","0.22%"
"Aug 02, 2021","0.8188","0.8010","0.8289","0.7857","28.60M","2.11%"
"Aug 01, 2021","0.8019","0.8570","0.8677","0.7865","39.96M","-6.30%"
"Jul 31, 2021","0.8558","0.8140","0.8663","0.7886","58.26M","5.15%"
"Jul 30, 2021","0.8139","0.7457","0.8792","0.7457","115.01M","9.20%"
"Jul 29, 2021","0.7453","0.7063","0.7504","0.6912","28.57M","5.53%"
"Jul 28, 2021","0.7063","0.7047","0.7163","0.6873","34.51M","0.14%"
"Jul 27, 2021","0.7053","0.6772","0.7053","0.6581","41.68M","3.97%"
"Jul 26, 2021","0.6783","0.6695","0.7345","0.6664","66.66M","1.30%"
"Jul 25, 2021","0.6696","0.6605","0.6708","0.6475","33.29M","2.30%"
"Jul 24, 2021","0.6545","0.6445","0.6596","0.6390","37.22M","1.74%"
"Jul 23, 2021","0.6433","0.6265","0.6459","0.6133","35.49M","2.69%"
"Jul 22, 2021","0.6264","0.6126","0.6305","0.5971","31.62M","2.26%"
"Jul 21, 2021","0.6126","0.5688","0.6197","0.5525","40.40M","7.68%"
"Jul 20, 2021","0.5689","0.6038","0.6161","0.5485","42.10M","-5.78%"
"Jul 19, 2021","0.6038","0.6606","0.6657","0.5949","34.16M","-8.04%"
"Jul 18, 2021","0.6566","0.6337","0.6650","0.6220","-","3.66%"
"Jul 17, 2021","0.6334","0.6220","0.6458","0.6119","34.54M","1.82%"
