"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 20, 2021","2.6190","2.6240","2.6270","2.5840","838.13K","-0.19%"
"Aug 19, 2021","2.6240","2.5110","2.7610","2.4390","948.85K","4.46%"
"Aug 18, 2021","2.5120","2.5510","2.5930","2.3830","758.63K","-1.45%"
"Aug 17, 2021","2.5490","2.7550","2.8200","2.5320","866.25K","-7.48%"
"Aug 16, 2021","2.7550","2.8410","2.8910","2.7200","655.79K","-3.06%"
"Aug 15, 2021","2.8420","2.8910","2.9790","2.7620","866.71K","-1.73%"
"Aug 14, 2021","2.8920","2.8550","3.0840","2.7610","903.50K","1.26%"
"Aug 13, 2021","2.8560","2.5430","2.8930","2.5190","919.03K","12.62%"
"Aug 12, 2021","2.5360","2.6960","2.7950","2.4580","880.72K","-5.90%"
"Aug 11, 2021","2.6950","2.5690","2.7440","2.5220","902.89K","4.82%"
"Aug 10, 2021","2.5710","2.4580","2.6180","2.3890","1.09M","4.60%"
"Aug 09, 2021","2.4580","2.3840","2.5350","2.2620","849.27K","3.10%"
"Aug 08, 2021","2.3840","2.6200","2.6900","2.3150","1.03M","-9.01%"
"Aug 07, 2021","2.6200","2.6790","2.9580","2.5430","1.02M","-2.20%"
"Aug 06, 2021","2.6790","2.4860","2.6910","2.3560","1.18M","7.55%"
"Aug 05, 2021","2.4910","2.3500","2.5990","2.3320","986.76K","6.05%"
"Aug 04, 2021","2.3490","2.2730","2.4170","2.1560","1.13M","3.34%"
"Aug 03, 2021","2.2730","2.4350","2.4680","2.2120","1.13M","-6.42%"
"Aug 02, 2021","2.4290","2.3520","2.5610","2.2540","952.57K","3.05%"
"Aug 01, 2021","2.3570","2.5440","2.5850","2.3500","1.01M","-7.35%"
"Jul 31, 2021","2.5440","2.6020","2.6050","2.3750","1.00M","-2.23%"
"Jul 30, 2021","2.6020","2.5170","2.6240","2.2820","1.08M","3.38%"
"Jul 29, 2021","2.5170","2.8790","3.0250","2.4040","1.23M","-12.54%"
"Jul 28, 2021","2.8780","1.9560","3.1000","1.9220","1.39M","47.14%"
"Jul 27, 2021","1.9560","1.8790","2.0260","1.8070","967.13K","4.10%"
"Jul 26, 2021","1.8790","1.7640","2.0750","1.7640","992.83K","6.52%"
"Jul 25, 2021","1.7640","1.7041","1.8000","1.5860","1.14M","5.88%"
"Jul 24, 2021","1.6660","1.6280","1.7000","1.5960","814.51K","2.33%"
