"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 20, 2021","0.002562","0.002571","0.002571","0.002562","143.17K","-0.35%"
"Aug 19, 2021","0.002571","0.002562","0.002585","0.002427","-","4.49%"
"Aug 18, 2021","0.002461","0.002562","0.002562","0.002446","-","0.13%"
"Aug 17, 2021","0.002458","0.002562","0.002592","0.002448","-","-2.77%"
"Aug 16, 2021","0.002528","0.002562","0.002619","0.002514","-","-2.25%"
"Aug 15, 2021","0.002586","0.002562","0.002600","0.002508","-","-0.09%"
"Aug 14, 2021","0.002588","0.002629","0.002629","0.002537","-","-1.55%"
"Aug 13, 2021","0.002629","0.002562","0.002630","0.002539","-","7.65%"
"Aug 12, 2021","0.002442","0.002562","0.002562","0.002411","-","-2.53%"
"Aug 11, 2021","0.002506","0.002507","0.002570","0.002506","-","-0.05%"
"Aug 10, 2021","0.002507","0.002562","0.002562","0.002458","-","-1.69%"
"Aug 09, 2021","0.002550","0.002408","0.002562","0.002408","-","5.89%"
"Aug 08, 2021","0.002408","0.002562","0.002562","0.002382","-","-1.75%"
"Aug 07, 2021","0.002451","0.002354","0.002562","0.002338","-","4.10%"
"Aug 06, 2021","0.002354","0.002562","0.002562","0.002219","-","4.79%"
"Aug 05, 2021","0.002247","0.002562","0.002562","0.002058","-","2.78%"
"Aug 04, 2021","0.002186","0.002098","0.002562","0.002075","-","4.21%"
"Aug 03, 2021","0.002098","0.002562","0.002562","0.002072","-","-2.63%"
"Aug 02, 2021","0.002154","0.002198","0.002562","0.002129","-","-2.00%"
"Aug 01, 2021","0.002198","0.002562","0.002562","0.002175","-","-3.72%"
"Jul 31, 2021","0.002283","0.002325","0.002562","0.002259","-","-1.78%"
"Jul 30, 2021","0.002325","0.002562","0.002562","0.002121","-","5.71%"
"Jul 29, 2021","0.002199","0.002201","0.002562","0.002169","-","-0.08%"
"Jul 28, 2021","0.002201","0.002169","0.002562","0.002138","-","1.48%"
"Jul 27, 2021","0.002169","0.002562","0.002562","0.002050","-","5.72%"
"Jul 26, 2021","0.002051","0.002562","0.002562","0.002029","-","5.48%"
"Jul 25, 2021","0.001945","0.002562","0.002562","0.001896","-","4.56%"
"Jul 24, 2021","0.001860","0.001846","0.002562","0.001846","-","0.78%"
"Jul 23, 2021","0.001846","0.001776","0.002562","0.001762","-","3.89%"
"Jul 22, 2021","0.001776","0.001765","0.002562","0.001745","-","0.65%"
"Jul 21, 2021","0.001765","0.001639","0.002562","0.001639","-","7.70%"
"Jul 20, 2021","0.001639","0.001694","0.002562","0.001611","-","-3.25%"
"Jul 19, 2021","0.001694","0.001748","0.002562","0.001680","-","-3.08%"
"Jul 18, 2021","0.001748","0.001732","0.002562","0.001718","-","0.89%"
"Jul 17, 2021","0.001732","0.001728","0.002562","0.001720","-","0.25%"
"Jul 16, 2021","0.001728","0.002562","0.002562","0.001709","-","-1.10%"
"Jul 15, 2021","0.001747","0.001805","0.002562","0.001715","-","-3.21%"
"Jul 14, 2021","0.001805","0.001799","0.002562","0.001776","-","0.36%"
"Jul 13, 2021","0.001799","0.002562","0.002562","0.001775","-","-1.31%"
"Jul 12, 2021","0.001822","0.001882","0.002562","0.001797","-","-3.18%"
"Jul 11, 2021","0.001882","0.001843","0.002562","0.001843","-","2.16%"
"Jul 10, 2021","0.001843","0.001861","0.002562","0.001819","-","-0.97%"
"Jul 09, 2021","0.001861","0.001807","0.002562","0.001796","-","2.94%"
"Jul 08, 2021","0.001807","0.002562","0.002562","0.001768","-","-2.92%"
"Jul 07, 2021","0.001862","0.001882","0.002562","0.001859","-","-1.08%"
"Jul 06, 2021","0.001882","0.001852","0.002562","0.001847","-","1.61%"
"Jul 05, 2021","0.001852","0.001942","0.002562","0.001825","-","-4.61%"
"Jul 04, 2021","0.001942","0.001911","0.002562","0.001911","-","1.62%"
"Jul 03, 2021","0.001911","0.001861","0.002562","0.001861","-","2.68%"
"Jul 02, 2021","0.001861","0.001843","0.002562","0.001804","-","1.01%"
"Jul 01, 2021","0.001843","0.002562","0.002562","0.001806","-","-4.39%"
"Jun 30, 2021","0.001927","0.001973","0.002562","0.001874","-","-2.31%"
"Jun 29, 2021","0.001973","0.001896","0.002562","0.001896","-","4.05%"
"Jun 28, 2021","0.001896","0.002562","0.002562","0.001866","-","-0.55%"
"Jun 27, 2021","0.001906","0.001772","0.002562","0.001772","-","7.56%"
"Jun 26, 2021","0.001772","0.002562","0.002562","0.001686","-","1.90%"
"Jun 25, 2021","0.001739","0.001906","0.002562","0.001723","-","-8.73%"
"Jun 24, 2021","0.001906","0.001852","0.002562","0.001828","-","2.91%"
"Jun 23, 2021","0.001852","0.002562","0.002562","0.001803","-","3.54%"
"Jun 22, 2021","0.001789","0.001750","0.002562","0.001609","-","2.21%"
"Jun 21, 2021","0.001750","0.001963","0.002562","0.001727","-","-10.85%"
"Jun 20, 2021","0.001963","0.001960","0.002562","0.001839","-","0.14%"
"Jun 19, 2021","0.001960","0.001966","0.002562","0.001952","-","-0.32%"
"Jun 18, 2021","0.001966","0.002092","0.002562","0.001936","-","-6.01%"
"Jun 17, 2021","0.002092","0.002562","0.002562","0.002060","-","-0.80%"
"Jun 16, 2021","0.002109","0.002208","0.002562","0.002098","-","-4.49%"
"Jun 15, 2021","0.002208","0.002229","0.002562","0.002175","-","-0.92%"
"Jun 14, 2021","0.002229","0.002149","0.002562","0.002148","-","3.69%"
"Jun 13, 2021","0.002149","0.001955","0.002562","0.001955","-","9.97%"
"Jun 12, 2021","0.001955","0.002052","0.002562","0.001910","-","-4.76%"
"Jun 11, 2021","0.002052","0.002562","0.002562","0.002010","-","1.83%"
"Jun 10, 2021","0.002015","0.002052","0.002562","0.001971","-","-1.80%"
"Jun 09, 2021","0.002052","0.001841","0.002562","0.001841","-","11.49%"
"Jun 08, 2021","0.001841","0.001847","0.002562","0.001716","-","-0.37%"
"Jun 07, 2021","0.001847","0.002562","0.002562","0.001837","-","-6.15%"
"Jun 06, 2021","0.001968","0.002562","0.002562","0.001941","-","0.68%"
"Jun 05, 2021","0.001955","0.002026","0.002562","0.001919","-","-3.48%"
"Jun 04, 2021","0.002026","0.002562","0.002562","0.001959","-","-5.97%"
"Jun 03, 2021","0.002154","0.002562","0.002562","0.002111","-","4.23%"
"Jun 02, 2021","0.002067","0.002562","0.002562","0.002030","-","2.52%"
"Jun 01, 2021","0.002016","0.002052","0.002562","0.001967","-","-1.76%"
"May 31, 2021","0.002052","0.001958","0.002562","0.001958","-","4.78%"
"May 30, 2021","0.001959","0.001902","0.002562","0.001902","-","2.99%"
"May 29, 2021","0.001902","0.001962","0.002562","0.001852","-","-3.08%"
"May 28, 2021","0.001962","0.002113","0.002562","0.001913","-","-7.14%"
"May 27, 2021","0.002113","0.002161","0.002562","0.002106","-","-2.23%"
"May 26, 2021","0.002161","0.002562","0.002562","0.002094","-","2.28%"
"May 25, 2021","0.002113","0.002129","0.002562","0.002009","-","-0.77%"
"May 24, 2021","0.002129","0.001910","0.002562","0.001910","-","11.46%"
"May 23, 2021","0.001910","0.002562","0.002562","0.001720","-","-7.54%"
"May 22, 2021","0.002066","0.002054","0.002562","0.002036","-","0.60%"
"May 21, 2021","0.002054","0.002247","0.002562","0.001852","-","-8.59%"
"May 20, 2021","0.002247","0.002030","0.002562","0.002030","-","10.66%"
"May 19, 2021","0.002030","0.002361","0.002562","0.001643","-","-14.10%"
"May 18, 2021","0.002364","0.002395","0.002562","0.002328","-","-1.03%"
"May 17, 2021","0.002388","0.002562","0.002562","0.002321","-","-6.77%"
"May 16, 2021","0.002562","0.002575","0.002739","0.002425","-","-0.51%"
"May 15, 2021","0.002575","0.002562","0.002731","0.002562","-","0.49%"
"May 14, 2021","0.002562","0.002562","0.002562","0.002562","-","0.00%"
"May 13, 2021","0.002562","0.002869","0.002914","0.002400","5.23M","-10.70%"
"May 12, 2021","0.002869","0.003168","0.003342","0.002869","4.01M","-9.44%"
"May 11, 2021","0.003168","0.003006","0.003342","0.002815","7.19M","5.39%"
"May 10, 2021","0.003006","0.003102","0.003568","0.003006","11.93M","-3.08%"
"May 09, 2021","0.003102","0.003193","0.003230","0.003077","1.10M","-2.85%"
"May 08, 2021","0.003193","0.003399","0.003504","0.003053","5.95M","-6.08%"
"May 07, 2021","0.003399","0.003570","0.003637","0.003342","14.55M","-4.78%"
"May 06, 2021","0.003570","0.003615","0.003902","0.003452","6.88M","-1.25%"
"May 05, 2021","0.003615","0.002827","0.004115","0.002827","66.61M","27.88%"
"May 04, 2021","0.002827","0.003430","0.003430","0.002827","11.34M","-17.58%"
"May 03, 2021","0.003430","0.003740","0.003902","0.002964","32.26M","-8.30%"
"May 02, 2021","0.003740","0.003800","0.004300","0.003671","4.94M","-1.57%"
"May 01, 2021","0.003800","0.003190","0.004283","0.003100","43.31M","19.12%"
