"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 20, 2021","13.4855","13.3111","13.9651","13.1733","8.83M","1.32%"
"Aug 19, 2021","13.3100","12.9249","13.3560","12.0934","9.43M","2.86%"
"Aug 18, 2021","12.9400","12.4381","13.6229","12.4179","12.27M","3.99%"
"Aug 17, 2021","12.4429","13.2618","14.1133","12.2672","9.57M","-6.21%"
"Aug 16, 2021","13.2667","13.7947","14.9065","13.0153","7.49M","-3.83%"
"Aug 15, 2021","13.7945","14.1252","14.1351","12.9239","7.02M","-2.31%"
"Aug 14, 2021","14.1204","13.9854","15.1819","13.6848","14.90M","1.06%"
"Aug 13, 2021","13.9721","10.3246","13.9878","10.1443","13.52M","35.20%"
"Aug 12, 2021","10.3347","10.7914","11.4557","9.8451","8.39M","-4.27%"
"Aug 11, 2021","10.7960","10.6674","11.4876","10.5357","7.51M","1.11%"
"Aug 10, 2021","10.6773","10.7779","10.8143","10.2604","5.26M","-0.97%"
"Aug 09, 2021","10.7816","10.2434","11.1274","10.2319","9.94M","5.21%"
"Aug 08, 2021","10.2478","10.8558","11.5748","10.0032","10.75M","-5.59%"
"Aug 07, 2021","10.8540","8.7308","11.4625","8.5489","25.72M","24.37%"
"Aug 06, 2021","8.7271","8.1343","8.9450","7.9560","8.31M","7.27%"
"Aug 05, 2021","8.1354","7.9911","8.2424","7.5701","5.66M","1.81%"
"Aug 04, 2021","7.9911","7.7725","8.0512","7.4504","4.53M","2.82%"
"Aug 03, 2021","7.7719","7.9874","8.0766","7.4125","5.92M","-2.74%"
"Aug 02, 2021","7.9908","7.3392","8.2432","7.1735","9.93M","8.83%"
"Aug 01, 2021","7.3424","7.9558","8.0316","7.2616","6.33M","-7.77%"
"Jul 31, 2021","7.9608","7.2212","8.4562","7.0699","12.94M","10.29%"
"Jul 30, 2021","7.2181","6.7676","7.3329","6.4297","5.39M","6.67%"
"Jul 29, 2021","6.7666","6.6337","6.8124","6.4332","3.13M","2.02%"
"Jul 28, 2021","6.6326","6.5117","6.7038","6.3749","4.54M","1.77%"
"Jul 27, 2021","6.5172","6.3055","6.5949","6.0344","5.41M","3.28%"
"Jul 26, 2021","6.3103","6.2078","7.0504","6.1718","7.99M","1.67%"
"Jul 25, 2021","6.2064","6.0431","6.2125","5.8560","3.94M","-0.56%"
"Jul 24, 2021","6.2414","5.8692","6.2461","5.8166","4.06M","6.34%"
"Jul 23, 2021","5.8692","5.5991","5.8880","5.4523","4.41M","4.77%"
"Jul 22, 2021","5.6019","5.3838","5.6724","5.2795","4.10M","4.14%"
"Jul 21, 2021","5.3794","4.9824","5.5412","4.8312","4.75M","7.98%"
"Jul 20, 2021","4.9818","5.3133","5.4318","4.8252","4.89M","-6.21%"
"Jul 19, 2021","5.3118","5.6682","5.7245","5.2541","3.80M","-6.36%"
"Jul 18, 2021","5.6724","5.5605","5.8518","5.5430","3.32M","1.96%"
"Jul 17, 2021","5.5633","5.5326","5.6937","5.4183","4.02M","0.61%"
"Jul 16, 2021","5.5295","5.9257","6.0616","5.5135","4.71M","-6.69%"
"Jul 15, 2021","5.9259","6.1979","6.3261","5.7997","4.04M","-4.39%"
"Jul 14, 2021","6.1982","6.2096","6.3282","5.8174","3.99M","-0.16%"
"Jul 13, 2021","6.2083","6.5602","6.5915","6.1532","3.31M","-5.33%"
"Jul 12, 2021","6.5579","6.6959","6.9016","6.4190","3.95M","-2.07%"
"Jul 11, 2021","6.6965","6.6378","6.7991","6.4459","3.35M","0.85%"
"Jul 10, 2021","6.6397","6.7774","6.8974","6.4555","3.72M","-2.01%"
"Jul 09, 2021","6.7762","6.5014","6.9557","6.1050","5.55M","4.23%"
"Jul 08, 2021","6.5014","7.0815","7.1005","6.4169","5.77M","-8.19%"
"Jul 07, 2021","7.0816","7.1648","7.3524","7.0326","4.44M","-1.16%"
"Jul 06, 2021","7.1648","6.9507","7.3743","6.9462","3.55M","3.02%"
"Jul 05, 2021","6.9545","7.3968","7.3983","6.8993","3.77M","-6.05%"
"Jul 04, 2021","7.4022","7.2602","7.6975","7.2455","4.25M","1.96%"
"Jul 03, 2021","7.2602","7.0723","7.4403","6.9387","4.10M","2.67%"
"Jul 02, 2021","7.0714","7.0842","7.2628","6.6511","5.54M","-0.24%"
"Jul 01, 2021","7.0887","7.6727","7.6762","6.8345","7.05M","-7.60%"
"Jun 30, 2021","7.6718","7.5554","7.9434","6.8152","11.92M","1.82%"
"Jun 29, 2021","7.5344","6.3167","7.6730","6.3081","9.08M","19.29%"
"Jun 28, 2021","6.3158","6.1479","6.4365","5.9941","5.64M","2.73%"
"Jun 27, 2021","6.1478","5.8218","6.2534","5.7013","7.83M","5.61%"
"Jun 26, 2021","5.8212","5.5291","5.8619","5.2528","9.55M","5.27%"
"Jun 25, 2021","5.5296","6.1744","6.5063","5.4197","10.57M","-10.43%"
"Jun 24, 2021","6.1733","5.8964","6.2473","5.5291","8.16M","4.77%"
"Jun 23, 2021","5.8922","4.9893","6.0710","4.7735","12.42M","18.18%"
