"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 20, 2021","0.018492","0.018319","0.018548","0.018145","735.68M","0.99%"
"Aug 19, 2021","0.018311","0.017316","0.018320","0.016710","808.58M","5.75%"
"Aug 18, 2021","0.017316","0.017852","0.018194","0.016806","969.35M","-3.00%"
"Aug 17, 2021","0.017852","0.019482","0.019963","0.017710","1.39B","-8.49%"
"Aug 16, 2021","0.019509","0.019610","0.020487","0.018729","1.38B","-0.52%"
"Aug 15, 2021","0.019610","0.019446","0.019779","0.018187","653.24M","0.84%"
"Aug 14, 2021","0.019446","0.019104","0.019678","0.018321","818.57M","1.79%"
"Aug 13, 2021","0.019104","0.017666","0.019138","0.017535","709.31M","8.14%"
"Aug 12, 2021","0.017666","0.018278","0.019108","0.016892","824.59M","-3.61%"
"Aug 11, 2021","0.018328","0.017275","0.019050","0.017233","1.08B","6.10%"
"Aug 10, 2021","0.017275","0.017014","0.017493","0.016399","734.38M","1.53%"
"Aug 09, 2021","0.017014","0.016377","0.017147","0.015429","601.29M","3.89%"
"Aug 08, 2021","0.016377","0.017573","0.017612","0.015930","662.70M","-6.80%"
"Aug 07, 2021","0.017571","0.017219","0.017748","0.016650","954.46M","2.59%"
"Aug 06, 2021","0.017127","0.016157","0.017400","0.015749","845.62M","6.00%"
"Aug 05, 2021","0.016157","0.015884","0.016310","0.015084","737.12M","1.72%"
"Aug 04, 2021","0.015884","0.014976","0.015971","0.014953","828.18M","5.99%"
"Aug 03, 2021","0.014986","0.015882","0.015935","0.014590","989.58M","-5.64%"
"Aug 02, 2021","0.015882","0.015846","0.016462","0.015422","1.72B","0.23%"
"Aug 01, 2021","0.015846","0.014977","0.020152","0.014977","4.45B","5.44%"
"Jul 31, 2021","0.015029","0.013994","0.015419","0.013773","775.30M","7.40%"
"Jul 30, 2021","0.013994","0.013459","0.014223","0.012810","817.97M","3.99%"
"Jul 29, 2021","0.013457","0.012727","0.013522","0.012307","650.16M","5.74%"
"Jul 28, 2021","0.012727","0.012432","0.013119","0.012195","778.27M","2.21%"
"Jul 27, 2021","0.012452","0.011979","0.012460","0.011339","587.37M","3.90%"
"Jul 26, 2021","0.011985","0.011576","0.012981","0.011511","943.56M","3.53%"
"Jul 25, 2021","0.011576","0.011323","0.011634","0.010994","591.61M","3.43%"
"Jul 24, 2021","0.011192","0.011119","0.011336","0.010990","380.03M","0.66%"
"Jul 23, 2021","0.011119","0.010824","0.011163","0.010372","475.35M","2.72%"
"Jul 22, 2021","0.010824","0.010641","0.010824","0.010371","479.68M","1.72%"
"Jul 21, 2021","0.010641","0.009772","0.010844","0.009570","755.23M","9.04%"
"Jul 20, 2021","0.009759","0.010656","0.010848","0.009336","592.14M","-8.42%"
"Jul 19, 2021","0.010656","0.011201","0.011710","0.010556","464.96M","-4.87%"
"Jul 18, 2021","0.011201","0.010986","0.011491","0.010925","257.56M","1.96%"
"Jul 17, 2021","0.010986","0.010798","0.011158","0.010534","373.89M","1.74%"
