"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 20, 2021","0.55647","0.54628","0.56747","0.54062","-","1.86%"
"Aug 19, 2021","0.54628","0.52953","0.54652","0.51038","-","3.16%"
"Aug 18, 2021","0.52953","0.53932","0.54859","0.51619","-","-1.82%"
"Aug 17, 2021","0.53932","0.58640","0.58798","0.53653","-","-8.03%"
"Aug 16, 2021","0.58640","0.59638","0.60109","0.57701","-","-1.67%"
"Aug 15, 2021","0.59638","0.59463","0.60751","0.56787","-","0.38%"
"Aug 14, 2021","0.59412","0.56740","0.61546","0.56444","-","4.71%"
"Aug 13, 2021","0.56740","0.52997","0.56812","0.52479","-","7.06%"
"Aug 12, 2021","0.52997","0.55740","0.57816","0.51797","-","-4.92%"
"Aug 11, 2021","0.55740","0.53510","0.56629","0.53016","-","4.17%"
"Aug 10, 2021","0.53510","0.53662","0.53778","0.51586","-","-0.28%"
"Aug 09, 2021","0.53662","0.52408","0.53812","0.49187","-","2.39%"
"Aug 08, 2021","0.52408","0.54412","0.56522","0.51328","-","-3.60%"
"Aug 07, 2021","0.54367","0.51668","0.54424","0.51668","-","5.31%"
"Aug 06, 2021","0.51627","0.49980","0.51694","0.48739","-","3.30%"
"Aug 05, 2021","0.49980","0.48748","0.50268","0.46930","-","2.53%"
"Aug 04, 2021","0.48748","0.47101","0.48787","0.45924","-","3.50%"
"Aug 03, 2021","0.47101","0.49432","0.49742","0.46138","-","-4.71%"
"Aug 02, 2021","0.49432","0.48641","0.49586","0.47409","-","1.63%"
"Aug 01, 2021","0.48641","0.50808","0.50808","0.46955","-","-4.19%"
"Jul 31, 2021","0.50768","0.48819","0.50876","0.47160","-","3.73%"
"Jul 30, 2021","0.48943","0.47561","0.50259","0.44086","-","2.91%"
"Jul 29, 2021","0.47561","0.43778","0.47893","0.42073","-","8.64%"
"Jul 28, 2021","0.43778","0.45012","0.45012","0.41799","-","-2.74%"
"Jul 27, 2021","0.45012","0.39948","0.45012","0.39948","-","12.68%"
"Jul 26, 2021","0.39948","0.38738","0.43029","0.38281","-","3.12%"
"Jul 25, 2021","0.38738","0.37895","0.38854","0.36847","-","3.15%"
"Jul 24, 2021","0.37555","0.38138","0.38138","0.36900","-","-1.39%"
"Jul 23, 2021","0.38083","0.37597","0.38091","0.35790","-","1.29%"
"Jul 22, 2021","0.37597","0.35286","0.38540","0.34311","-","6.55%"
"Jul 21, 2021","0.35286","0.32166","0.35292","0.30533","-","9.70%"
"Jul 20, 2021","0.32166","0.34427","0.34474","0.29355","-","-6.57%"
"Jul 19, 2021","0.34427","0.36082","0.38776","0.33109","-","-4.59%"
"Jul 18, 2021","0.36082","0.36803","0.39801","0.35255","-","-1.96%"
"Jul 17, 2021","0.36803","0.36743","0.37111","0.34712","-","-0.26%"
