"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 20, 2021","0.034954","0.034240","0.034997","0.033856","115.24M","2.09%"
"Aug 19, 2021","0.034240","0.032462","0.034363","0.031077","82.61M","5.52%"
"Aug 18, 2021","0.032450","0.031836","0.033859","0.031032","21.43M","1.68%"
"Aug 17, 2021","0.031912","0.035336","0.036448","0.031745","9.22M","-9.69%"
"Aug 16, 2021","0.035336","0.034719","0.037371","0.034119","4.16M","1.72%"
"Aug 15, 2021","0.034740","0.034597","0.035150","0.032947","3.49M","0.41%"
"Aug 14, 2021","0.034597","0.032361","0.034918","0.030795","3.50M","6.91%"
"Aug 13, 2021","0.032361","0.028997","0.032487","0.028832","4.28M","11.60%"
"Aug 12, 2021","0.028997","0.030442","0.031551","0.028224","3.10M","-4.75%"
"Aug 11, 2021","0.030442","0.030568","0.032373","0.030154","5.80M","-0.41%"
"Aug 10, 2021","0.030568","0.026937","0.032220","0.026616","4.80M","13.48%"
"Aug 09, 2021","0.026937","0.025246","0.027255","0.024711","2.96M","6.69%"
"Aug 08, 2021","0.025246","0.026241","0.026703","0.024645","4.03M","-3.79%"
"Aug 07, 2021","0.026241","0.026047","0.027238","0.025796","4.98M","0.74%"
"Aug 06, 2021","0.026047","0.024084","0.026259","0.023521","7.59M","8.15%"
"Aug 05, 2021","0.024084","0.024053","0.024745","0.022732","6.05M","0.13%"
"Aug 04, 2021","0.024053","0.022895","0.024431","0.022148","2.77M","5.06%"
"Aug 03, 2021","0.022895","0.023641","0.023912","0.022427","3.47M","-3.15%"
"Aug 02, 2021","0.023641","0.022735","0.024057","0.022440","3.18M","3.99%"
"Aug 01, 2021","0.022735","0.021600","0.025022","0.021600","4.76M","5.25%"
"Jul 31, 2021","0.021600","0.022448","0.022690","0.020825","3.32M","-3.78%"
"Jul 30, 2021","0.022448","0.022137","0.022496","0.020678","4.50M","1.41%"
"Jul 29, 2021","0.022137","0.020948","0.022675","0.020587","2.79M","5.67%"
"Jul 28, 2021","0.020948","0.021160","0.022015","0.020502","4.68M","-1.07%"
"Jul 27, 2021","0.021175","0.020395","0.021498","0.019888","4.26M","3.83%"
"Jul 26, 2021","0.020395","0.020504","0.022498","0.020145","4.16M","-0.53%"
"Jul 25, 2021","0.020504","0.019318","0.020641","0.018937","3.23M","12.74%"
"Jul 24, 2021","0.018187","0.018476","0.018689","0.018090","1.91M","-1.56%"
"Jul 23, 2021","0.018476","0.018276","0.018896","0.017545","3.85M","1.09%"
"Jul 22, 2021","0.018276","0.017571","0.018455","0.017407","4.17M","4.02%"
"Jul 21, 2021","0.017571","0.016195","0.018311","0.016023","6.02M","8.49%"
"Jul 20, 2021","0.016195","0.017631","0.017788","0.015870","4.75M","-7.95%"
"Jul 19, 2021","0.017594","0.018520","0.018735","0.016985","2.93M","-5.00%"
"Jul 18, 2021","0.018520","0.018219","0.018892","0.018125","3.64M","1.65%"
"Jul 17, 2021","0.018219","0.018110","0.018650","0.017743","2.12M","0.60%"
"Jul 16, 2021","0.018110","0.019844","0.020346","0.017941","3.92M","-8.74%"
"Jul 15, 2021","0.019844","0.019558","0.020484","0.018701","3.78M","1.46%"
"Jul 14, 2021","0.019558","0.019867","0.020004","0.018855","3.51M","-1.55%"
"Jul 13, 2021","0.019867","0.019967","0.020537","0.019450","4.49M","-0.50%"
"Jul 12, 2021","0.019967","0.020937","0.021263","0.019689","4.99M","-4.63%"
"Jul 11, 2021","0.020937","0.020599","0.021392","0.020383","2.64M","1.64%"
"Jul 10, 2021","0.020599","0.021124","0.021361","0.020301","3.97M","-2.49%"
"Jul 09, 2021","0.021124","0.020658","0.021409","0.019995","3.75M","2.25%"
"Jul 08, 2021","0.020658","0.022234","0.022267","0.020434","3.14M","-6.98%"
"Jul 07, 2021","0.022209","0.022505","0.023318","0.022194","2.37M","-1.32%"
"Jul 06, 2021","0.022505","0.022354","0.023102","0.021879","2.82M","0.67%"
"Jul 05, 2021","0.022355","0.023782","0.023782","0.021928","3.25M","-6.00%"
"Jul 04, 2021","0.023782","0.024086","0.030127","0.006820","2.02M","-1.26%"
"Jul 03, 2021","0.024086","0.023237","0.024273","0.022785","1.73M","3.65%"
"Jul 02, 2021","0.023237","0.021615","0.023633","0.021033","2.25M","7.50%"
"Jul 01, 2021","0.021615","0.022978","0.023128","0.020920","3.85M","-5.93%"
"Jun 30, 2021","0.022978","0.022687","0.023178","0.021579","5.72M","1.28%"
"Jun 29, 2021","0.022687","0.021923","0.024337","0.021880","1.30M","3.49%"
"Jun 28, 2021","0.021923","0.021897","0.022990","0.021186","3.43M","0.12%"
"Jun 27, 2021","0.021897","0.020634","0.021992","0.020260","3.08M","6.54%"
"Jun 26, 2021","0.020553","0.020461","0.020921","0.018746","3.23M","0.45%"
"Jun 25, 2021","0.020461","0.022737","0.023038","0.020118","9.35M","-10.01%"
"Jun 24, 2021","0.022737","0.021765","0.023349","0.020831","3.70M","4.47%"
"Jun 23, 2021","0.021765","0.020974","0.023783","0.020453","10.75M","3.77%"
"Jun 22, 2021","0.020974","0.022272","0.023418","0.017549","3.60M","-5.83%"
"Jun 21, 2021","0.022272","0.027307","0.027707","0.022272","3.35M","-18.44%"
"Jun 20, 2021","0.027307","0.024218","0.027750","0.022192","3.26M","12.76%"
"Jun 19, 2021","0.024218","0.025077","0.025934","0.024187","3.08M","-3.43%"
"Jun 18, 2021","0.025077","0.027447","0.027882","0.024362","3.37M","-8.64%"
"Jun 17, 2021","0.027447","0.028109","0.028626","0.026617","4.02M","-2.35%"
"Jun 16, 2021","0.028109","0.028637","0.029113","0.026512","2.45M","-1.85%"
"Jun 15, 2021","0.028637","0.029272","0.029423","0.028274","2.42M","-2.17%"
"Jun 14, 2021","0.029272","0.029816","0.030603","0.028670","2.52M","-1.82%"
"Jun 13, 2021","0.029816","0.025741","0.030852","0.025200","2.74M","15.83%"
"Jun 12, 2021","0.025741","0.027069","0.027321","0.024898","3.30M","-4.91%"
"Jun 11, 2021","0.027069","0.029775","0.029844","0.026516","2.78M","-9.09%"
"Jun 10, 2021","0.029775","0.030642","0.031607","0.028339","1.33M","-2.82%"
"Jun 09, 2021","0.030641","0.029946","0.033382","0.029197","1.99M","2.32%"
"Jun 08, 2021","0.029946","0.027364","0.031874","0.024368","3.54M","9.44%"
"Jun 07, 2021","0.027364","0.032281","0.033046","0.027188","3.66M","-15.23%"
"Jun 06, 2021","0.032281","0.031591","0.037808","0.031466","2.27M","2.18%"
"Jun 05, 2021","0.031591","0.032512","0.037297","0.029951","4.28M","-2.83%"
"Jun 04, 2021","0.032512","0.028046","0.033551","0.024903","4.72M","15.93%"
"Jun 03, 2021","0.028046","0.026663","0.029099","0.026190","1.77M","5.19%"
"Jun 02, 2021","0.026663","0.025575","0.027464","0.024807","2.54M","4.25%"
"Jun 01, 2021","0.025575","0.026624","0.026987","0.025173","2.31M","-3.94%"
"May 31, 2021","0.026624","0.024820","0.027135","0.023343","1.54M","7.27%"
"May 30, 2021","0.024820","0.022620","0.025586","0.021537","2.36M","9.72%"
"May 29, 2021","0.022620","0.023998","0.025663","0.021515","2.77M","-5.74%"
"May 28, 2021","0.023998","0.027689","0.028502","0.023215","3.68M","-13.33%"
"May 27, 2021","0.027689","0.029629","0.030652","0.027269","4.46M","-6.55%"
"May 26, 2021","0.029629","0.025429","0.030947","0.025429","4.24M","16.51%"
"May 25, 2021","0.025429","0.026249","0.027616","0.023203","3.93M","-3.12%"
"May 24, 2021","0.026249","0.021482","0.027665","0.020670","22.71M","22.19%"
"May 23, 2021","0.021482","0.025262","0.026400","0.016823","18.20M","-14.96%"
"May 22, 2021","0.025262","0.026502","0.028160","0.024237","4.16M","-4.68%"
"May 21, 2021","0.026502","0.032487","0.035556","0.022910","2.45M","-18.42%"
"May 20, 2021","0.032487","0.027116","0.034545","0.024654","8.15M","19.14%"
"May 19, 2021","0.027267","0.043250","0.043744","0.019704","4.81M","-36.96%"
"May 18, 2021","0.043250","0.042750","0.046623","0.041513","3.34M","1.17%"
"May 17, 2021","0.042750","0.048277","0.048501","0.041242","15.03M","-11.45%"
"May 16, 2021","0.048277","0.046158","0.051215","0.044088","20.73M","4.59%"
"May 15, 2021","0.046158","0.052230","0.054626","0.046158","5.96M","-11.63%"
"May 14, 2021","0.052230","0.049315","0.056620","0.049156","4.77M","5.91%"
"May 13, 2021","0.049315","0.048454","0.055334","0.042642","4.25M","2.30%"
"May 12, 2021","0.048206","0.063019","0.065160","0.048206","4.97M","-23.51%"
"May 11, 2021","0.063019","0.057886","0.063115","0.054119","3.56M","8.87%"
"May 10, 2021","0.057886","0.064099","0.067090","0.054517","3.57M","-9.69%"
"May 09, 2021","0.064099","0.066945","0.072053","0.062792","1.70M","-4.25%"
"May 08, 2021","0.066945","0.066210","0.072297","0.060692","4.00M","1.11%"
"May 07, 2021","0.066210","0.066285","0.082338","0.062412","5.29M","-0.11%"
"May 06, 2021","0.066285","0.062704","0.067447","0.056959","6.04M","5.71%"
"May 05, 2021","0.062704","0.045471","0.064748","0.045442","5.54M","34.05%"
"May 04, 2021","0.046775","0.051551","0.052794","0.046746","2.52M","-9.27%"
"May 03, 2021","0.051551","0.052728","0.056015","0.050857","4.63M","-2.23%"
"May 02, 2021","0.052728","0.053955","0.054951","0.050826","3.63M","-2.27%"
"May 01, 2021","0.053955","0.056093","0.056502","0.052579","3.29M","-3.81%"
"Apr 30, 2021","0.056093","0.046459","0.057369","0.045452","3.62M","20.74%"
"Apr 29, 2021","0.046459","0.048207","0.050205","0.044824","2.93M","-3.63%"
"Apr 28, 2021","0.048207","0.049873","0.050203","0.044666","3.77M","-3.34%"
"Apr 27, 2021","0.049873","0.046176","0.050192","0.045215","2.58M","8.01%"
"Apr 26, 2021","0.046176","0.037094","0.048716","0.036982","2.69M","24.48%"
"Apr 25, 2021","0.037094","0.041379","0.042601","0.034725","5.41M","-10.36%"
"Apr 24, 2021","0.041379","0.043808","0.045997","0.039616","4.21M","-5.54%"
"Apr 23, 2021","0.043808","0.048455","0.050165","0.039938","5.50M","-9.60%"
"Apr 22, 2021","0.048459","0.056957","0.060422","0.047389","4.51M","-15.17%"
"Apr 21, 2021","0.057121","0.056498","0.064384","0.056144","4.07M","1.10%"
"Apr 20, 2021","0.056498","0.058049","0.061280","0.048161","3.90M","-2.57%"
