"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 20, 2021","147.06","147.08","150.27","146.33","644.13K","0.01%"
"Aug 19, 2021","147.04","140.87","148.05","137.67","640.23K","4.29%"
"Aug 18, 2021","140.99","141.48","144.85","135.51","738.12K","-0.35%"
"Aug 17, 2021","141.48","150.19","159.74","140.80","872.76K","-5.83%"
"Aug 16, 2021","150.24","154.71","157.86","148.60","666.91K","-2.87%"
"Aug 15, 2021","154.68","144.92","156.27","140.65","659.69K","6.76%"
"Aug 14, 2021","144.88","144.90","147.61","137.81","585.31K","-0.02%"
"Aug 13, 2021","144.91","133.59","145.14","132.71","532.77K","8.50%"
"Aug 12, 2021","133.56","137.29","142.63","130.54","607.38K","-2.77%"
"Aug 11, 2021","137.37","131.87","142.60","131.74","567.13K","4.14%"
"Aug 10, 2021","131.91","130.76","134.35","128.01","488.96K","0.89%"
"Aug 09, 2021","130.75","123.43","132.34","118.81","675.66K","5.93%"
"Aug 08, 2021","123.43","134.16","136.19","121.58","637.68K","-8.02%"
"Aug 07, 2021","134.18","126.86","134.56","125.44","773.37K","5.90%"
"Aug 06, 2021","126.70","118.99","128.60","117.22","573.63K","6.72%"
"Aug 05, 2021","118.72","118.05","120.96","114.24","562.77K","0.58%"
"Aug 04, 2021","118.03","114.05","120.67","112.68","433.65K","3.54%"
"Aug 03, 2021","113.99","115.29","116.73","109.35","469.86K","-1.13%"
"Aug 02, 2021","115.29","115.62","119.93","113.38","494.27K","-0.31%"
"Aug 01, 2021","115.65","111.18","123.18","110.42","760.60K","4.02%"
"Jul 31, 2021","111.18","109.86","112.46","108.83","443.74K","1.20%"
"Jul 30, 2021","109.86","107.83","109.91","102.88","578.95K","1.89%"
"Jul 29, 2021","107.82","105.72","108.84","104.31","473.58K","1.99%"
"Jul 28, 2021","105.72","102.95","105.72","101.52","704.74K","2.73%"
"Jul 27, 2021","102.91","101.43","103.64","98.12","668.26K","1.44%"
