"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 20, 2021","0.104812","0.104447","0.105259","0.103473","324.42M","0.35%"
"Aug 19, 2021","0.104443","0.097555","0.104477","0.095656","345.49M","7.09%"
"Aug 18, 2021","0.097532","0.099463","0.101793","0.093584","395.09M","-1.93%"
"Aug 17, 2021","0.099451","0.106754","0.112714","0.098570","312.53M","-6.94%"
"Aug 16, 2021","0.106871","0.111673","0.115749","0.105941","410.01M","-4.33%"
"Aug 15, 2021","0.111707","0.111613","0.113047","0.105161","320.23M","0.05%"
"Aug 14, 2021","0.111651","0.105804","0.116212","0.104297","588.18M","5.49%"
"Aug 13, 2021","0.105841","0.099130","0.106888","0.097671","424.77M","6.79%"
"Aug 12, 2021","0.099107","0.104653","0.106396","0.094874","406.44M","-5.30%"
"Aug 11, 2021","0.104653","0.097708","0.106755","0.097021","482.65M","7.11%"
"Aug 10, 2021","0.097708","0.091773","0.099908","0.090593","427.59M","6.46%"
"Aug 09, 2021","0.091777","0.086967","0.093131","0.083726","361.52M","5.53%"
"Aug 08, 2021","0.086967","0.093129","0.094822","0.085477","313.42M","-6.62%"
"Aug 07, 2021","0.093136","0.091078","0.096036","0.089349","537.43M","2.32%"
"Aug 06, 2021","0.091021","0.086069","0.091206","0.083596","206.85M","5.73%"
"Aug 05, 2021","0.086084","0.081237","0.087251","0.078143","496.03M","5.97%"
"Aug 04, 2021","0.081237","0.078816","0.081644","0.076887","219.87M","3.08%"
"Aug 03, 2021","0.078810","0.081542","0.081909","0.076985","239.87M","-3.35%"
"Aug 02, 2021","0.081543","0.079738","0.084318","0.077949","293.38M","2.25%"
"Aug 01, 2021","0.079752","0.083570","0.088433","0.078775","435.20M","-4.76%"
"Jul 31, 2021","0.083740","0.080500","0.084906","0.078010","1.22M","4.02%"
"Jul 30, 2021","0.080504","0.075762","0.080669","0.073381","461.72M","6.26%"
"Jul 29, 2021","0.075762","0.074081","0.078497","0.072908","217.83M","2.27%"
"Jul 28, 2021","0.074079","0.076474","0.076889","0.072721","322.42M","-3.13%"
"Jul 27, 2021","0.076471","0.074270","0.078280","0.069592","502.44M","2.95%"
"Jul 26, 2021","0.074281","0.074239","0.084760","0.073286","1.11B","0.06%"
"Jul 25, 2021","0.074239","0.069068","0.075263","0.068366","855.17M","15.76%"
"Jul 24, 2021","0.064134","0.063058","0.064901","0.062616","217.59M","1.71%"
"Jul 23, 2021","0.063054","0.062093","0.063548","0.059388","214.67M","1.58%"
"Jul 22, 2021","0.062072","0.058541","0.062855","0.057909","318.88M","6.27%"
"Jul 21, 2021","0.058411","0.053415","0.060253","0.051984","200.24M","9.35%"
