Date,Open,High,Low,Close,Adj Close,Volume
2009-11-11,32250.000000,36550.000000,31550.000000,35650.000000,30170.035156,7742736
2009-11-12,36000.000000,38000.000000,35700.000000,37050.000000,31354.824219,2209587
2009-11-13,37600.000000,38300.000000,35750.000000,35750.000000,30254.658203,1188070
2009-11-16,35750.000000,38150.000000,35750.000000,37900.000000,32074.164063,978241
2009-11-17,38400.000000,38800.000000,37200.000000,38400.000000,32497.312500,744033
2009-11-18,38500.000000,38700.000000,37800.000000,38100.000000,32243.425781,462771
2009-11-19,38400.000000,40150.000000,38250.000000,39850.000000,33724.433594,993931
2009-11-20,39850.000000,42500.000000,39350.000000,41000.000000,34697.652344,1041990
2009-11-23,41050.000000,42150.000000,40350.000000,41650.000000,35247.738281,468875
2009-11-24,42200.000000,42300.000000,41150.000000,41500.000000,35120.792969,443765
2009-11-25,41450.000000,45650.000000,41450.000000,45000.000000,38082.789063,938914
2009-11-26,45500.000000,47850.000000,45200.000000,47600.000000,40283.128906,1074212
2009-11-27,47050.000000,51100.000000,45600.000000,47200.000000,39944.621094,1923871
2009-11-30,49000.000000,50500.000000,47400.000000,47800.000000,40452.378906,1005979
2009-12-01,48050.000000,48650.000000,44100.000000,44300.000000,37490.390625,1396576
2009-12-02,45100.000000,46200.000000,44000.000000,45050.000000,38125.101563,691059
2009-12-03,45450.000000,47800.000000,45100.000000,47650.000000,40325.437500,671108
2009-12-04,47800.000000,48700.000000,47350.000000,47600.000000,40283.128906,424295
2009-12-07,47550.000000,47850.000000,45200.000000,46050.000000,38971.382813,881641
2009-12-08,45600.000000,45950.000000,44650.000000,44950.000000,38040.480469,426724
2009-12-09,44950.000000,45900.000000,44950.000000,45350.000000,38378.992188,315192
2009-12-10,45350.000000,46600.000000,44400.000000,46300.000000,39182.957031,446841
2009-12-11,47000.000000,47650.000000,46250.000000,46700.000000,39521.468750,603774
2009-12-14,47400.000000,49450.000000,47250.000000,49100.000000,41552.554688,765139
2009-12-15,49700.000000,49700.000000,48700.000000,48700.000000,41214.039063,440014
2009-12-16,49300.000000,51100.000000,49100.000000,49700.000000,42060.324219,696049
2009-12-17,50000.000000,50000.000000,48450.000000,49400.000000,41806.441406,386087
2009-12-18,48650.000000,49350.000000,48400.000000,48600.000000,41129.417969,251107
2009-12-21,48300.000000,49600.000000,48100.000000,48550.000000,41087.101563,280675
2009-12-22,48900.000000,49150.000000,48200.000000,48900.000000,41383.304688,214016
2009-12-23,48500.000000,48900.000000,46700.000000,47100.000000,39859.984375,556056
2009-12-24,47000.000000,47100.000000,45700.000000,46400.000000,39267.582031,440823
2009-12-28,45400.000000,46350.000000,44850.000000,44850.000000,37955.847656,553778
2009-12-29,44700.000000,45900.000000,42550.000000,43200.000000,36559.472656,522450
2009-12-30,43500.000000,44800.000000,41900.000000,44800.000000,37913.531250,380877
2010-01-04,45300.000000,47600.000000,44700.000000,47250.000000,39986.929688,416886
2010-01-05,48000.000000,49800.000000,47350.000000,49050.000000,41510.238281,814484
2010-01-06,49250.000000,51300.000000,48600.000000,50000.000000,42314.210938,715782
2010-01-07,50000.000000,52500.000000,49700.000000,52100.000000,44091.402344,718228
2010-01-08,52400.000000,58500.000000,51000.000000,55000.000000,46545.632813,1098750
2010-01-11,55000.000000,55500.000000,53300.000000,55000.000000,46545.632813,928018
2010-01-12,54400.000000,57500.000000,53400.000000,55900.000000,47307.289063,883890
2010-01-13,56000.000000,58000.000000,55600.000000,56000.000000,47391.921875,346642
2010-01-14,56000.000000,57000.000000,54400.000000,55600.000000,47053.402344,398855
2010-01-15,55900.000000,59800.000000,55300.000000,59500.000000,50353.910156,731776
2010-01-18,59300.000000,60600.000000,58600.000000,60100.000000,50861.679688,407515
2010-01-19,60500.000000,60600.000000,58200.000000,58500.000000,49507.621094,393087
2010-01-20,59200.000000,59900.000000,58000.000000,58400.000000,49423.000000,325517
2010-01-21,57500.000000,60000.000000,57100.000000,58900.000000,49846.136719,280458
2010-01-22,58000.000000,59000.000000,56800.000000,57700.000000,48830.601563,315444
2010-01-25,56200.000000,58300.000000,56200.000000,57700.000000,48830.601563,328053
2010-01-26,58200.000000,59700.000000,56600.000000,57100.000000,48322.828125,311011
2010-01-27,56800.000000,57400.000000,54800.000000,55100.000000,46630.261719,419750
2010-01-28,55700.000000,57200.000000,53900.000000,56000.000000,47391.921875,414967
2010-01-29,55100.000000,55600.000000,50000.000000,52400.000000,44345.289063,407459
2010-02-01,52400.000000,53900.000000,51600.000000,52700.000000,44599.179688,240223
2010-02-02,53800.000000,56200.000000,53400.000000,54800.000000,46376.375000,293636
2010-02-03,55100.000000,56200.000000,54500.000000,55000.000000,46545.632813,187988
2010-02-04,55000.000000,55000.000000,53000.000000,54600.000000,46207.117188,239959
2010-02-05,52000.000000,52900.000000,50300.000000,50900.000000,43075.863281,385923
2010-02-08,51000.000000,52200.000000,50100.000000,50300.000000,42568.097656,177019
2010-02-09,50100.000000,51800.000000,49600.000000,51500.000000,43583.644531,197347
2010-02-10,52200.000000,52800.000000,50100.000000,50100.000000,42398.835938,276853
2010-02-11,50300.000000,51200.000000,50100.000000,51100.000000,43245.113281,186110
2010-02-12,51700.000000,53000.000000,51100.000000,52800.000000,44683.812500,177537
2010-02-16,53000.000000,54000.000000,52500.000000,53300.000000,45106.941406,185096
2010-02-17,53800.000000,55600.000000,53800.000000,55200.000000,46714.886719,392540
2010-02-18,55400.000000,55700.000000,54400.000000,54900.000000,46461.000000,162553
2010-02-19,54500.000000,57300.000000,54400.000000,55800.000000,47222.656250,416626
2010-02-22,56900.000000,58400.000000,56500.000000,57900.000000,48999.855469,433389
2010-02-23,57700.000000,58400.000000,56800.000000,57600.000000,48745.964844,181911
2010-02-24,56700.000000,57600.000000,56200.000000,57400.000000,48576.714844,104656
2010-02-25,57600.000000,58300.000000,55500.000000,56200.000000,47561.171875,181277
2010-02-26,56300.000000,58500.000000,55600.000000,58500.000000,49507.621094,187571
2010-03-02,59200.000000,60000.000000,58500.000000,58900.000000,49846.136719,399040
2010-03-03,59100.000000,60000.000000,58300.000000,59000.000000,49930.769531,201377
2010-03-04,59500.000000,59900.000000,58300.000000,59900.000000,50692.421875,206520
2010-03-05,60000.000000,63100.000000,60000.000000,63100.000000,53400.527344,635373
2010-03-08,64300.000000,64300.000000,62300.000000,62600.000000,52977.398438,333011
2010-03-09,62600.000000,65500.000000,62000.000000,64000.000000,54162.191406,389560
2010-03-10,63800.000000,65100.000000,63400.000000,64100.000000,54246.820313,210143
2010-03-11,64100.000000,65600.000000,63200.000000,63400.000000,53654.410156,320990
2010-03-12,63700.000000,64000.000000,62100.000000,63300.000000,53569.785156,204126
2010-03-15,63300.000000,64000.000000,61400.000000,64000.000000,54162.191406,274452
2010-03-16,64000.000000,64800.000000,63500.000000,63500.000000,53739.046875,160984
2010-03-17,63700.000000,64200.000000,63100.000000,64100.000000,54246.820313,163635
2010-03-18,63400.000000,65000.000000,63400.000000,63600.000000,53823.667969,170741
2010-03-19,64200.000000,65300.000000,63300.000000,65000.000000,55008.472656,191923
2010-03-22,65000.000000,65000.000000,64000.000000,64000.000000,54162.191406,112784
2010-03-23,64500.000000,64500.000000,63300.000000,64000.000000,54162.191406,93985
2010-03-24,64000.000000,64400.000000,62600.000000,62700.000000,53062.015625,145921
2010-03-25,62700.000000,63600.000000,62500.000000,62900.000000,53231.273438,117676
2010-03-26,63300.000000,64600.000000,62900.000000,63500.000000,53739.046875,224635
2010-03-29,62500.000000,63200.000000,60500.000000,61500.000000,52046.472656,290480
2010-03-30,61800.000000,62300.000000,60500.000000,62300.000000,52723.503906,244816
2010-03-31,62300.000000,62900.000000,61700.000000,62000.000000,52469.617188,141345
2010-04-01,60500.000000,62000.000000,58200.000000,61700.000000,52215.738281,699853
2010-04-02,62300.000000,63200.000000,59000.000000,59400.000000,50269.285156,269176
2010-04-05,59400.000000,59400.000000,57900.000000,58200.000000,49253.742188,349757
2010-04-06,58300.000000,59900.000000,58200.000000,58800.000000,49761.511719,192105
2010-04-07,59000.000000,60400.000000,57500.000000,60000.000000,50777.046875,175947
2010-04-08,60000.000000,60300.000000,58700.000000,58700.000000,49676.878906,143665
2010-04-09,59300.000000,61400.000000,59200.000000,60900.000000,51538.707031,418864
2010-04-12,61000.000000,61400.000000,60200.000000,60400.000000,51115.570313,131521
2010-04-13,60600.000000,60800.000000,59100.000000,59300.000000,50184.652344,121235
2010-04-14,59400.000000,60400.000000,59100.000000,60100.000000,50861.679688,113995
2010-04-15,60600.000000,60600.000000,58600.000000,59100.000000,50015.394531,187810
2010-04-16,59000.000000,60200.000000,58500.000000,60200.000000,50946.304688,146402
2010-04-19,59700.000000,60300.000000,59100.000000,59700.000000,50523.167969,82649
2010-04-20,59600.000000,62200.000000,59500.000000,62200.000000,52638.871094,183044
2010-04-21,62600.000000,64200.000000,61800.000000,64000.000000,54162.191406,329315
2010-04-22,63400.000000,64700.000000,62700.000000,63700.000000,53908.308594,156829
2010-04-23,63600.000000,64200.000000,62400.000000,62500.000000,52892.761719,150286
2010-04-26,62600.000000,63000.000000,61500.000000,61900.000000,52384.992188,148762
2010-04-27,61900.000000,62300.000000,60300.000000,61700.000000,52215.738281,199587
2010-04-28,60400.000000,61300.000000,60100.000000,60100.000000,50861.679688,253844
2010-04-29,60300.000000,63900.000000,60300.000000,63900.000000,54077.566406,512994
2010-04-30,64700.000000,66600.000000,63900.000000,66100.000000,55939.386719,442462
2010-05-03,66100.000000,67100.000000,64800.000000,66000.000000,55854.757813,368271
2010-05-04,67000.000000,69000.000000,65000.000000,69000.000000,58393.609375,557745
2010-05-06,67600.000000,70000.000000,67500.000000,69500.000000,58816.750000,469855
2010-05-07,67500.000000,68400.000000,66300.000000,66300.000000,56108.640625,485808
2010-05-10,66400.000000,67100.000000,64600.000000,65500.000000,55431.613281,403955
2010-05-11,66400.000000,71200.000000,65400.000000,70000.000000,59239.890625,705640
2010-05-12,70500.000000,74400.000000,70200.000000,72700.000000,61524.863281,640555
2010-05-13,73300.000000,74400.000000,71700.000000,72500.000000,61355.593750,423557
2010-05-14,71700.000000,74600.000000,71300.000000,73700.000000,62371.144531,336198
2010-05-17,73100.000000,74900.000000,72700.000000,74200.000000,62794.277344,339588
2010-05-18,75300.000000,76400.000000,70300.000000,72200.000000,61101.707031,456966
2010-05-19,71200.000000,72600.000000,69000.000000,72000.000000,60932.460938,326838
2010-05-20,71800.000000,72300.000000,68000.000000,68800.000000,58224.351563,339491
2010-05-24,68100.000000,71100.000000,67500.000000,69700.000000,58986.007813,197940
2010-05-25,69000.000000,70000.000000,64700.000000,69000.000000,58393.609375,400740
2010-05-26,69000.000000,73000.000000,68200.000000,72000.000000,60932.460938,1137836
2010-05-27,71600.000000,74300.000000,71300.000000,72600.000000,61440.242188,376854
2010-05-28,73800.000000,73800.000000,71200.000000,71400.000000,60424.695313,205354
2010-05-31,71500.000000,72200.000000,70600.000000,72000.000000,60932.460938,137669
2010-06-01,72200.000000,72300.000000,68500.000000,68900.000000,58308.980469,313769
2010-06-03,69700.000000,70800.000000,67500.000000,69300.000000,58647.496094,407392
2010-06-04,69500.000000,70600.000000,68200.000000,69000.000000,58393.609375,276022
2010-06-07,67100.000000,69700.000000,66500.000000,69300.000000,58647.496094,275520
2010-06-08,69800.000000,69800.000000,68000.000000,68000.000000,57547.320313,270027
2010-06-09,68200.000000,71500.000000,68000.000000,70900.000000,60001.550781,352939
2010-06-10,71300.000000,71700.000000,70200.000000,70700.000000,59832.281250,187555
2010-06-11,71400.000000,73200.000000,70300.000000,73200.000000,61948.007813,410513
2010-06-14,74100.000000,74200.000000,73000.000000,73400.000000,62117.261719,169306
2010-06-15,74000.000000,74500.000000,73000.000000,74500.000000,63048.164063,200063
2010-06-16,74800.000000,77000.000000,74000.000000,77000.000000,65163.898438,347522
2010-06-17,77400.000000,79100.000000,76200.000000,78400.000000,66348.679688,381174
2010-06-18,78400.000000,80100.000000,77700.000000,79500.000000,67279.601563,215855
2010-06-21,80000.000000,80100.000000,77700.000000,79600.000000,67364.226563,241409
