Date,Open,High,Low,Close,Adj Close,Volume
1993-10-25,1.250000,1.250000,0.937500,0.937500,0.836103,18000
1993-10-26,1.229167,1.229167,0.854167,0.864583,0.771073,189600
1993-10-27,0.864583,0.864583,0.864583,0.864583,0.771073,0
1993-10-28,0.708333,0.833333,0.583333,0.822917,0.733913,30000
1993-10-29,0.875000,0.875000,0.833333,0.833333,0.743202,172800
1993-11-01,0.833333,0.875000,0.833333,0.875000,0.780363,76800
1993-11-02,0.833333,0.875000,0.833333,0.875000,0.780363,12000
1993-11-03,0.854167,0.979167,0.854167,0.958333,0.854683,48000
1993-11-04,1.000000,1.000000,0.958333,0.958333,0.854683,25200
1993-11-05,0.854167,1.000000,0.854167,1.000000,0.891843,4800
1993-11-08,1.000000,1.000000,1.000000,1.000000,0.891843,0
1993-11-09,0.875000,0.875000,0.875000,0.875000,0.780363,7200
1993-11-10,0.895833,0.895833,0.895833,0.895833,0.798943,50400
1993-11-11,0.895833,0.895833,0.895833,0.895833,0.798943,7200
1993-11-12,0.895833,0.895833,0.895833,0.895833,0.798943,12000
1993-11-15,0.895833,0.895833,0.895833,0.895833,0.798943,31200
1993-11-16,0.895833,1.020833,0.895833,1.020833,0.910423,25200
1993-11-17,0.895833,1.020833,0.895833,0.916667,0.817523,38400
1993-11-18,0.916667,0.916667,0.916667,0.916667,0.817523,56400
1993-11-19,0.947917,0.958333,0.854167,0.885417,0.789653,945600
1993-11-22,0.885417,0.958333,0.885417,0.947917,0.845393,34800
1993-11-23,0.916667,0.916667,0.916667,0.916667,0.817523,6000
1993-11-24,0.875000,0.895833,0.875000,0.895833,0.798943,9600
1993-11-26,0.885417,0.895833,0.885417,0.895833,0.798943,14400
1993-11-29,0.875000,0.958333,0.875000,0.958333,0.854683,49200
1993-11-30,0.958333,0.958333,0.958333,0.958333,0.854683,0
1993-12-01,0.958333,0.958333,0.958333,0.958333,0.854683,0
1993-12-02,0.916667,0.937500,0.895833,0.937500,0.836103,219600
1993-12-03,0.916667,0.916667,0.916667,0.916667,0.817523,4800
1993-12-06,0.916667,0.916667,0.916667,0.916667,0.817523,3600
1993-12-07,0.895833,0.895833,0.875000,0.875000,0.780363,43200
1993-12-08,0.937500,0.937500,0.854167,0.875000,0.780363,108000
1993-12-09,0.875000,0.937500,0.864583,0.875000,0.780363,358800
