Date,Open,High,Low,Close,Adj Close,Volume
2001-06-20,24.000000,24.500000,23.900000,23.900000,9.966846,11000
2001-06-21,24.500000,25.500000,24.500000,25.500000,10.634077,39300
2001-06-22,25.500000,25.650000,25.500000,25.600000,10.675781,33800
2001-06-25,25.900000,26.500000,25.900000,26.500000,11.051102,9100
2001-06-26,26.500000,26.500000,26.150000,26.450001,11.030252,109800
2001-06-27,26.450001,26.600000,26.440001,26.600000,11.092808,185300
2001-06-28,26.799999,27.500000,26.799999,27.500000,11.468126,66000
2001-06-29,27.549999,28.100000,27.549999,28.000000,11.676640,71300
2001-07-02,28.000000,28.400000,28.000000,28.000000,11.676640,69700
2001-07-03,28.010000,28.160000,28.010000,28.049999,11.697487,56200
2001-07-05,28.049999,28.049999,27.940001,27.950001,11.655787,61900
2001-07-06,27.950001,30.000000,26.900000,30.000000,12.510687,3337400
2001-07-09,30.000000,31.299999,29.799999,29.910000,12.473148,1674700
2001-07-10,29.910000,30.010000,28.549999,28.549999,11.905998,1210400
2001-07-11,28.450001,29.010000,28.379999,28.500000,11.885150,2426400
2001-07-12,28.510000,30.200001,28.510000,29.450001,12.281317,1294600
2001-07-13,29.350000,30.020000,28.990000,29.000000,12.093662,709500
2001-07-16,29.000000,29.610001,28.520000,28.750000,11.989407,593900
2001-07-17,28.750000,29.750000,28.709999,29.590000,12.339702,837100
2001-07-18,29.520000,30.000000,29.430000,29.490000,12.297998,396600
2001-07-19,29.440001,29.500000,28.809999,28.900000,12.051960,303600
2001-07-20,28.799999,29.150000,28.799999,28.959999,12.076984,519000
2001-07-23,28.959999,29.010000,28.600000,29.010000,12.097833,206100
2001-07-24,28.950001,29.299999,28.740000,28.980000,12.085319,268600
2001-07-25,28.969999,29.790001,28.750000,29.549999,12.323027,385200
2001-07-26,29.400000,29.950001,29.180000,29.930000,12.481490,208500
2001-07-27,29.920000,30.549999,29.900000,30.530001,12.731704,274600
2001-07-30,30.540001,32.150002,30.540001,31.620001,13.186260,289200
2001-07-31,31.600000,33.500000,31.600000,33.020000,13.770092,357300
2001-08-01,33.099998,34.279999,33.099998,34.000000,14.178773,759800
2001-08-02,33.950001,34.200001,33.660000,33.709999,14.057834,365500
2001-08-03,33.500000,33.549999,32.599998,32.650002,13.615794,139800
2001-08-06,32.799999,32.900002,32.080002,32.139999,13.403110,161700
2001-08-07,32.139999,32.700001,32.099998,32.450001,13.532391,186400
2001-08-08,32.500000,32.599998,32.000000,32.490002,13.549069,322400
2001-08-09,32.500000,32.599998,32.349998,32.509998,13.557409,169400
2001-08-10,32.509998,32.750000,32.099998,32.150002,13.407284,328500
