Date,Open,High,Low,Close,Adj Close,Volume
1980-03-28,0.000000,4.291667,4.083333,4.083333,3.451458,1200
1980-03-31,0.000000,4.500000,4.250000,4.250000,3.592334,4200
1980-04-01,0.000000,4.500000,4.250000,4.250000,3.592334,5400
1980-04-02,0.000000,4.416667,4.166667,4.166667,3.521897,4200
1980-04-03,0.000000,4.416667,4.166667,4.166667,3.521897,2400
1980-04-07,0.000000,4.416667,4.166667,4.166667,3.521897,1200
1980-04-08,4.166667,4.166667,4.166667,4.166667,3.521897,0
1980-04-09,0.000000,4.333333,4.083333,4.083333,3.451458,2400
1980-04-10,0.000000,4.333333,4.083333,4.083333,3.451458,2400
1980-04-11,0.000000,4.333333,4.083333,4.083333,3.451458,1200
1980-04-14,0.000000,4.250000,4.083333,4.083333,3.451458,2400
1980-04-15,0.000000,4.291667,4.125000,4.125000,3.486676,3000
1980-04-16,0.000000,4.291667,4.125000,4.125000,3.486676,2400
1980-04-17,0.000000,4.250000,4.083333,4.083333,3.451458,3000
1980-04-18,4.083333,4.083333,4.083333,4.083333,3.451458,0
1980-04-21,4.083333,4.083333,4.083333,4.083333,3.451458,0
1980-04-22,4.083333,4.083333,4.083333,4.083333,3.451458,0
1980-04-23,4.083333,4.083333,4.083333,4.083333,3.451458,0
1980-04-24,0.000000,4.250000,4.083333,4.083333,3.451458,600
1980-04-25,4.083333,4.083333,4.083333,4.083333,3.451458,0
1980-04-28,0.000000,4.250000,4.083333,4.083333,3.451458,1800
1980-04-29,0.000000,4.250000,4.083333,4.083333,3.451458,600
1980-04-30,0.000000,4.291667,4.125000,4.125000,3.486676,3600
1980-05-01,0.000000,4.375000,4.208333,4.208333,3.557115,3600
1980-05-02,0.000000,4.416667,4.250000,4.250000,3.592334,1800
1980-05-05,0.000000,4.416667,4.250000,4.250000,3.592334,1200
1980-05-06,0.000000,4.500000,4.333333,4.333333,3.662772,3000
1980-05-07,0.000000,4.500000,4.333333,4.333333,3.662772,5400
1980-05-08,4.333333,4.333333,4.333333,4.333333,3.662772,0
1980-05-09,4.333333,4.333333,4.333333,4.333333,3.662772,0
1980-05-12,0.000000,4.625000,4.458333,4.458333,3.768429,6000
1980-05-13,0.000000,4.583333,4.416667,4.416667,3.733211,226800
1980-05-14,0.000000,4.583333,4.416667,4.416667,3.733211,12600
1980-05-15,0.000000,4.583333,4.416667,4.416667,3.733211,4800
1980-05-16,0.000000,4.583333,4.416667,4.416667,3.733211,41400
1980-05-19,0.000000,4.500000,4.333333,4.333333,3.662772,584400
1980-05-20,0.000000,4.583333,4.416667,4.416667,3.733211,108000
1980-05-21,0.000000,4.666667,4.500000,4.500000,3.803648,126600
1980-05-22,0.000000,4.645833,4.479167,4.479167,3.786038,400200
1980-05-23,0.000000,4.541667,4.500000,4.500000,3.803648,191400
1980-05-27,0.000000,4.604167,4.520833,4.583333,3.874086,321000
1980-05-28,0.000000,4.562500,4.520833,4.520833,3.821257,90000
1980-05-29,0.000000,4.583333,4.520833,4.562500,3.856475,299400
1980-05-30,0.000000,4.562500,4.520833,4.562500,3.856475,24000
1980-06-02,0.000000,4.583333,4.541667,4.541667,3.838867,47400
1980-06-03,0.000000,4.562500,4.520833,4.520833,3.821257,20400
1980-06-04,0.000000,4.541667,4.500000,4.520833,3.821257,44400
1980-06-05,0.000000,4.583333,4.541667,4.541667,3.838867,160200
1980-06-06,0.000000,4.604167,4.562500,4.604167,3.891695,130200
1980-06-09,0.000000,4.604167,4.541667,4.604167,3.891695,87600
1980-06-10,0.000000,4.604167,4.583333,4.583333,3.874086,22800
1980-06-11,0.000000,4.583333,4.562500,4.583333,3.874086,45000
1980-06-12,0.000000,4.562500,4.562500,4.562500,3.856475,37200
1980-06-13,0.000000,4.687500,4.625000,4.687500,3.962132,156600
1980-06-16,0.000000,4.729167,4.708333,4.708333,3.979742,112800
1980-06-17,0.000000,4.750000,4.708333,4.729167,3.997353,270000
1980-06-18,0.000000,4.770833,4.729167,4.729167,3.997353,52200
1980-06-19,0.000000,4.833333,4.791667,4.791667,4.050181,155400
1980-06-20,0.000000,4.958333,4.895833,4.895833,4.138227,145800
1980-06-23,0.000000,5.145833,5.000000,5.083333,4.296712,338400
1980-06-24,0.000000,5.083333,5.062500,5.062500,4.279102,90600
1980-06-25,0.000000,5.041667,4.979167,5.000000,4.226274,89400
1980-06-26,0.000000,5.000000,4.958333,4.979167,4.208668,93000
1980-06-27,0.000000,5.000000,4.979167,5.000000,4.226274,50400
1980-06-30,0.000000,5.000000,4.916667,4.916667,4.155838,30000
1980-07-01,0.000000,4.875000,4.854167,4.854167,4.103009,26400
1980-07-02,0.000000,4.916667,4.875000,4.895833,4.138227,30600
1980-07-03,0.000000,4.937500,4.895833,4.937500,4.173447,12600
1980-07-07,0.000000,4.916667,4.895833,4.916667,4.155838,18000
1980-07-08,0.000000,4.875000,4.812500,4.812500,4.067791,27000
1980-07-09,0.000000,4.895833,4.833333,4.875000,4.120619,26400
1980-07-10,0.000000,4.958333,4.916667,4.937500,4.173447,91200
1980-07-11,0.000000,4.937500,4.916667,4.937500,4.173447,10200
1980-07-14,0.000000,4.937500,4.916667,4.916667,4.155838,15600
1980-07-15,0.000000,4.937500,4.916667,4.916667,4.155838,27600
1980-07-16,0.000000,4.916667,4.854167,4.854167,4.103009,30000
1980-07-17,0.000000,4.916667,4.895833,4.895833,4.138227,31200
1980-07-18,0.000000,4.854167,4.833333,4.833333,4.085401,20400
1980-07-21,0.000000,4.875000,4.854167,4.875000,4.120619,29400
1980-07-22,0.000000,4.875000,4.833333,4.833333,4.085401,20400
