Date,Open,High,Low,Close,Adj Close,Volume
2010-01-20,4.604167,4.604167,4.604167,4.604167,4.604167,2400
2010-01-21,4.604167,4.604167,4.604167,4.604167,4.604167,0
2010-01-22,4.541667,4.616667,4.500000,4.500000,4.500000,9600
2010-01-25,4.500000,4.500000,4.500000,4.500000,4.500000,0
2010-01-26,4.600000,4.708333,4.600000,4.708333,4.708333,6000
2010-01-27,4.625000,4.625000,4.625000,4.625000,4.625000,24000
2010-01-28,4.625000,4.625000,4.625000,4.625000,4.625000,0
2010-01-29,4.650000,4.666667,4.650000,4.666667,4.666667,24000
2010-02-01,4.570833,4.583333,4.470833,4.583333,4.583333,22800
2010-02-02,4.333333,4.333333,4.333333,4.333333,4.333333,13200
2010-02-03,4.345833,4.510000,4.345833,4.345833,4.345833,151200
2010-02-04,4.479167,4.500000,4.479167,4.500000,4.500000,8400
2010-02-05,4.325000,4.325000,4.283333,4.320833,4.320833,12000
2010-02-08,4.320833,4.320833,4.320833,4.320833,4.320833,0
2010-02-09,4.415833,4.416667,4.415833,4.416667,4.416667,8400
2010-02-10,4.355000,4.379167,4.355000,4.379167,4.379167,15600
2010-02-11,4.379167,4.379167,4.379167,4.379167,4.379167,2400
2010-02-12,4.325000,4.375000,4.279167,4.375000,4.375000,4800
2010-02-16,4.345833,4.345833,4.337500,4.337500,4.337500,7200
2010-02-17,4.454167,4.454167,4.454167,4.454167,4.454167,2400
2010-02-18,4.454167,4.454167,4.454167,4.454167,4.454167,0
2010-02-19,4.454167,4.454167,4.454167,4.454167,4.454167,0
2010-02-22,4.458333,4.458333,4.450000,4.450833,4.450833,210000
2010-02-23,4.437500,4.437500,4.433333,4.433333,4.433333,34800
2010-02-24,4.450000,4.450000,4.450000,4.450000,4.450000,6000
2010-02-25,4.404167,4.404167,4.404167,4.404167,4.404167,2400
2010-02-26,4.412500,4.412500,4.412500,4.412500,4.412500,3600
2010-03-01,4.441667,4.441667,4.441667,4.441667,4.441667,3600
2010-03-02,4.441667,4.441667,4.441667,4.441667,4.441667,0
2010-03-03,4.441667,4.441667,4.441667,4.441667,4.441667,0
2010-03-04,4.375000,4.375000,4.375000,4.375000,4.375000,2400
2010-03-05,4.375000,4.375000,4.375000,4.375000,4.375000,0
2010-03-08,4.375000,4.375000,4.375000,4.375000,4.375000,0
2010-03-09,4.478333,4.508333,4.478333,4.508333,4.508333,7200
2010-03-10,4.508333,4.508333,4.508333,4.508333,4.508333,0
2010-03-11,4.475000,4.475000,4.475000,4.475000,4.475000,2400
2010-03-12,4.475000,4.475000,4.475000,4.475000,4.475000,0
2010-03-15,4.578333,4.578333,4.578333,4.578333,4.578333,2400
2010-03-16,4.583333,4.593333,4.562500,4.562500,4.562500,46800
2010-03-17,4.787500,4.787500,4.787500,4.787500,4.787500,3600
2010-03-18,4.720833,4.720833,4.720833,4.720833,4.720833,3600
2010-03-19,4.729167,4.729167,4.725000,4.725000,4.725000,7200
2010-03-22,4.733333,4.733333,4.733333,4.733333,4.733333,4800
2010-03-23,4.737500,4.745833,4.737500,4.745833,4.745833,3600
2010-03-24,4.662500,4.737500,4.662500,4.737500,4.737500,20400
2010-03-25,4.783333,4.783333,4.783333,4.783333,4.783333,7200
2010-03-26,4.783333,4.783333,4.783333,4.783333,4.783333,0
2010-03-29,4.841667,4.841667,4.841667,4.841667,4.841667,6000
2010-03-30,4.854167,4.854167,4.854167,4.854167,4.854167,2400
2010-03-31,4.762500,4.770833,4.762500,4.770833,4.770833,22800
2010-04-01,4.758333,4.758333,4.754167,4.754167,4.754167,3600
2010-04-05,4.916667,4.916667,4.916667,4.916667,4.916667,4800
2010-04-06,4.848333,4.848333,4.791667,4.848333,4.848333,7200
2010-04-07,4.783333,4.795000,4.750000,4.779167,4.779167,118800
2010-04-08,4.754167,4.754167,4.750000,4.750000,4.750000,80400
2010-04-09,4.741667,4.833333,4.741667,4.833333,4.833333,118800
2010-04-12,4.814167,4.925833,4.814167,4.854167,4.854167,1764000
2010-04-13,4.787500,4.791667,4.770833,4.770833,4.770833,320400
2010-04-14,4.729167,4.850000,4.729167,4.833333,4.833333,122400
2010-04-15,4.775833,4.775833,4.745833,4.775833,4.775833,51600
2010-04-16,4.768333,4.769167,4.750000,4.768333,4.768333,44400
2010-04-19,4.742500,4.742500,4.700000,4.742500,4.742500,14400
2010-04-20,4.687500,4.687500,4.687500,4.687500,4.687500,9600
2010-04-21,4.820833,4.820833,4.788333,4.788333,4.788333,8400
2010-04-22,4.783333,4.812500,4.735833,4.812500,4.812500,20400
2010-04-23,4.812500,4.812500,4.812500,4.812500,4.812500,0
2010-04-26,4.742500,4.794167,4.742500,4.794167,4.794167,14400
2010-04-27,4.841667,4.862500,4.841667,4.841667,4.841667,10800
2010-04-28,4.824167,4.863333,4.824167,4.863333,4.863333,19200
2010-04-29,4.883333,4.910000,4.883333,4.910000,4.910000,6000
2010-04-30,4.958333,5.000000,4.930833,4.930833,4.930833,25200
2010-05-03,5.000000,5.004167,4.925833,5.004167,5.004167,10800
2010-05-04,4.925833,4.925833,4.825000,4.875000,4.875000,8400
2010-05-05,4.825000,4.895833,4.825000,4.833333,4.833333,145200
2010-05-06,4.737500,4.737500,4.669167,4.669167,4.669167,8400
2010-05-07,4.700000,4.700000,4.654167,4.654167,4.654167,10800
2010-05-10,4.620000,4.620000,4.542500,4.542500,4.542500,12000
2010-05-11,4.433333,4.433333,4.433333,4.433333,4.433333,2400
2010-05-12,4.431667,4.436667,4.431667,4.436667,4.436667,19200
2010-05-13,4.440833,4.440833,4.420000,4.420000,4.420000,46800
2010-05-14,4.334167,4.353333,4.284167,4.284167,4.284167,8400
2010-05-17,4.267500,4.310000,4.267500,4.310000,4.310000,6000
2010-05-18,4.304167,4.304167,4.275833,4.275833,4.275833,7200
2010-05-19,4.298333,4.298333,4.237500,4.298333,4.298333,10800
2010-05-20,4.152500,4.212500,4.128333,4.130000,4.130000,16800
2010-05-21,4.170000,4.204167,4.166667,4.204167,4.204167,18000
2010-05-24,4.055000,4.095000,4.055000,4.095000,4.095000,48000
2010-05-25,3.932500,3.945833,3.866667,3.880000,3.880000,44400
2010-05-26,3.958333,3.958333,3.916667,3.916667,3.916667,15600
2010-05-27,4.055000,4.115833,4.050833,4.115833,4.115833,31200
2010-05-28,4.110000,4.110000,4.030000,4.095000,4.095000,24000
2010-06-01,4.020833,4.020833,4.012500,4.016667,4.016667,22800
2010-06-02,3.930000,3.950000,3.930000,3.950000,3.950000,4800
2010-06-03,4.146667,4.146667,4.083333,4.083333,4.083333,14400
2010-06-04,4.136667,4.136667,4.054167,4.054167,4.054167,10800
2010-06-07,3.985833,3.985833,3.985833,3.985833,3.985833,3600
2010-06-08,4.005833,4.005833,4.005833,4.005833,4.005833,2400
2010-06-09,3.965000,4.011667,3.965000,3.975000,3.975000,18000
2010-06-10,3.966667,4.025000,3.966667,4.025000,4.025000,8400
