Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,4.679680,4.679680,4.617180,4.617180,2.333193,28048
1994-01-04,4.617180,4.632820,4.601560,4.632820,2.341096,41280
1994-01-05,4.632820,4.648440,4.609380,4.648440,2.348990,17104
1994-01-06,4.632820,4.757820,4.632820,4.718760,2.384525,67344
1994-01-07,null,null,null,null,null,null
1994-01-10,5.031240,5.093760,5.015620,5.015620,2.534537,113680
1994-01-11,5.023440,5.023440,4.914060,4.937500,2.495061,50960
1994-01-12,4.929680,4.953120,4.914060,4.953120,2.502954,21136
1994-01-13,4.968760,5.015620,4.968760,5.007820,2.530595,15616
1994-01-14,null,null,null,null,null,null
1994-01-17,4.953120,4.960940,4.937500,4.960940,2.506905,30368
1994-01-18,4.960940,5.062500,4.953120,5.023440,2.538489,83344
1994-01-19,5.046880,5.078120,5.031240,5.054680,2.554275,60320
1994-01-20,5.054680,5.101560,5.039060,5.085940,2.570072,33168
1994-01-21,null,null,null,null,null,null
1994-01-24,4.968760,4.968760,4.929680,4.937500,2.495061,23056
1994-01-25,4.921880,4.921880,4.890620,4.906240,2.479264,19616
1994-01-26,4.859380,4.875000,4.812500,4.812500,2.431894,28976
1994-01-27,4.828120,4.828120,4.718760,4.718760,2.384525,62400
1994-01-28,null,null,null,null,null,null
1994-01-31,4.562500,4.585940,4.546880,4.570320,2.309514,71824
1994-02-01,4.679680,4.765620,4.648440,4.742180,2.396359,91584
1994-02-02,4.742180,4.937500,4.726560,4.882820,2.467429,65936
1994-02-03,4.914060,4.976560,4.914060,4.960940,2.506905,59264
1994-02-04,null,null,null,null,null,null
1994-02-07,4.890620,4.890620,4.859380,4.859380,2.455584,54752
1994-02-08,4.781240,4.781240,4.703120,4.703120,2.376621,73280
1994-02-09,4.781240,4.859380,4.781240,4.812500,2.431894,60864
1994-02-10,4.789060,4.820320,4.781240,4.812500,2.431894,37792
1994-02-11,null,null,null,null,null,null
1994-02-14,4.859380,4.984380,4.859380,4.968760,2.510857,57056
1994-02-15,4.968760,4.984380,4.929680,4.945320,2.499012,38560
1994-02-16,4.906240,4.906240,4.796880,4.906240,2.479264,25728
1994-02-17,4.687500,4.695320,4.531240,4.593760,2.321359,287616
1994-02-18,null,null,null,null,null,null
1994-02-22,4.625000,4.648440,4.609380,4.609380,2.329252,49040
1994-02-23,4.625000,4.710940,4.625000,4.687500,2.368728,49248
1994-02-24,4.687500,4.687500,4.609380,4.640620,2.345038,43344
1994-02-25,null,null,null,null,null,null
1994-02-28,4.468760,4.710940,4.421880,4.703120,2.376621,334976
1994-03-01,4.703120,4.710940,4.632820,4.656240,2.352932,150096
1994-03-02,4.625000,4.718760,4.625000,4.718760,2.384525,107616
1994-03-03,4.718760,4.828120,4.718760,4.781240,2.416098,48928
1994-03-04,null,null,null,null,null,null
1994-03-07,4.796880,4.804680,4.750000,4.750000,2.400311,58480
1994-03-08,4.687500,4.703120,4.664060,4.703120,2.376621,57488
1994-03-09,4.687500,4.750000,4.687500,4.734380,2.392418,62480
1994-03-10,4.718760,4.835940,4.718760,4.789060,2.420050,66144
1994-03-11,null,null,null,null,null,null
1994-03-14,4.812500,4.898440,4.804680,4.875000,2.463478,44656
1994-03-15,4.921880,4.968760,4.914060,4.921880,2.487167,26288
1994-03-16,4.890620,4.898440,4.867180,4.867180,2.459526,21712
1994-03-17,4.875000,4.875000,4.820320,4.859380,2.455584,15584
1994-03-18,null,null,null,null,null,null
1994-03-21,4.812500,4.812500,4.664060,4.687500,2.368728,685680
1994-03-22,4.625000,4.671880,4.625000,4.625000,2.337145,183328
1994-03-23,4.562500,4.601560,4.531240,4.578120,2.313456,121568
1994-03-24,4.562500,4.632820,4.562500,4.632820,2.341096,189840
1994-03-25,null,null,null,null,null,null
1994-03-28,4.578120,4.578120,4.531240,4.562500,2.305562,750448
1994-03-29,4.515620,4.578120,4.453120,4.468760,2.258192,142304
1994-03-30,4.492180,4.515620,4.421880,4.445320,2.246348,418240
1994-03-31,4.460940,4.601560,4.437500,4.593760,2.321359,194224
1994-04-04,4.734380,4.765620,4.687500,4.765620,2.408205,94592
