Date,Open,High,Low,Close,Adj Close,Volume
2007-12-28,8.352500,8.352500,8.352500,8.352500,-0.335703,0
2008-01-02,8.447500,8.447500,8.447500,8.447500,-0.339521,0
2008-01-03,8.535000,8.535000,8.535000,8.535000,-0.343038,0
2008-01-04,8.165000,8.197500,8.165000,8.197500,-0.329473,10000
2008-01-07,8.007500,8.007500,8.007500,8.007500,-0.321836,20000
2008-01-08,7.980000,7.980000,7.980000,7.980000,-0.320731,20000
2008-01-09,8.160000,8.310000,8.160000,8.310000,-0.333995,800
2008-01-10,8.002500,8.002500,8.002500,8.002500,-0.321635,0
2008-01-11,8.047500,8.047500,8.047500,8.047500,-0.323444,0
2008-01-14,8.075000,8.075000,8.075000,8.075000,-0.324549,0
2008-01-15,8.175000,8.175000,8.175000,8.175000,-0.328569,0
2008-01-16,8.125000,8.125000,8.125000,8.125000,-0.326559,0
2008-01-17,8.117500,8.117500,8.117500,8.117500,-0.326258,0
2008-01-18,8.092500,8.092500,8.092500,8.092500,-0.325253,0
2008-01-21,8.057500,8.057500,8.050000,8.050000,-0.323545,8000
2008-01-22,7.815500,7.815500,7.815500,7.815500,-0.314120,0
2008-01-23,7.857500,7.857500,7.857500,7.857500,-0.315808,0
2008-01-24,7.897500,7.897500,7.897500,7.897500,-0.317415,0
2008-01-25,7.790000,7.790000,7.790000,7.790000,-0.313095,0
2008-01-28,7.812500,7.812500,7.812500,7.812500,-0.313999,0
2008-01-29,7.770000,7.770000,7.770000,7.770000,-0.312291,0
2008-01-30,7.770000,7.770000,7.737500,7.737500,-0.310985,800
2008-01-31,7.945000,7.945000,7.945000,7.945000,-0.319324,1600
2008-02-01,7.855000,7.855000,7.855000,7.855000,-0.315707,1600
2008-02-04,7.937500,7.937500,7.937500,7.937500,-0.319023,0
2008-02-05,8.027500,8.027500,8.027500,8.027500,-0.322640,0
2008-02-06,8.037500,8.037500,8.037500,8.037500,-0.323042,0
2008-02-07,7.965000,7.965000,7.965000,7.965000,-0.320128,0
2008-02-08,7.962500,7.962500,7.962500,7.962500,-0.320028,0
2008-02-11,7.980000,7.980000,7.980000,7.980000,-0.320731,0
2008-02-12,8.155000,8.155000,8.155000,8.155000,-0.327765,0
2008-02-13,7.992500,7.992500,7.992500,7.992500,-0.321234,0
2008-02-14,8.002500,8.002500,8.002500,8.002500,-0.321635,0
2008-02-15,7.952500,7.952500,7.952500,7.952500,-0.319626,0
2008-02-18,7.755000,7.755000,7.755000,7.755000,-0.311688,0
2008-02-19,7.710000,7.710000,7.710000,7.710000,-0.309879,0
2008-02-20,7.632500,7.632500,7.632500,7.632500,-0.306765,0
2008-02-21,7.517500,7.517500,7.517500,7.517500,-0.302142,0
2008-02-22,7.290000,7.290000,7.290000,7.290000,-0.292999,0
2008-02-25,7.405000,7.405000,7.405000,7.405000,-0.297621,0
2008-02-26,7.315000,7.315000,7.315000,7.315000,-0.294004,0
2008-02-27,7.250000,7.250000,7.250000,7.250000,-0.291391,0
2008-02-28,7.117500,7.117500,7.117500,7.117500,-0.286066,0
2008-02-29,7.102500,7.102500,7.102500,7.102500,-0.285463,0
2008-03-03,7.477500,7.477500,7.437500,7.437500,-0.298927,400
2008-03-04,7.320000,7.320000,7.320000,7.320000,-0.294205,0
2008-03-05,7.420000,7.420000,7.420000,7.420000,-0.298224,0
2008-03-06,7.315000,7.315000,7.315000,7.315000,-0.294004,0
2008-03-07,7.095000,7.095000,7.095000,7.095000,-0.285161,0
2008-03-10,6.967500,6.967500,6.967500,6.967500,-0.280037,0
2008-03-11,6.847500,6.847500,6.847500,6.847500,-0.275214,0
2008-03-12,6.777500,6.777500,6.777500,6.777500,-0.272400,0
2008-03-13,6.752500,6.752500,6.725000,6.725000,-0.270290,400
2008-03-14,6.657500,6.657500,6.657500,6.657500,-0.267577,0
2008-03-17,6.690000,6.690000,6.690000,6.690000,-0.268884,0
2008-03-18,6.750000,6.750000,6.750000,6.750000,-0.271295,0
2008-03-19,6.857500,6.857500,6.857500,6.857500,-0.275616,0
2008-03-20,6.902500,6.902500,6.902500,6.902500,-0.277424,0
2008-03-25,6.860000,6.860000,6.860000,6.860000,-0.275716,0
2008-03-26,7.050000,7.050000,7.050000,7.050000,0.442779,0
2008-03-27,6.857500,6.857500,6.857500,6.857500,0.430689,0
2008-03-28,6.925000,6.925000,6.925000,6.925000,0.434928,0
2008-03-31,6.787500,6.787500,6.787500,6.787500,0.426293,0
2008-04-01,6.890000,6.890000,6.890000,6.890000,0.432730,0
2008-04-02,6.800000,6.800000,6.800000,6.800000,0.427078,0
2008-04-03,7.145000,7.145000,7.145000,7.145000,0.448746,0
2008-04-04,7.030000,7.030000,7.030000,7.030000,0.441523,0
2008-04-07,7.092500,7.092500,7.092500,7.092500,0.445448,0
2008-04-08,7.070000,7.070000,7.070000,7.070000,0.444035,0
2008-04-09,7.062500,7.062500,7.062500,7.062500,0.443564,0
2008-04-10,6.992500,6.992500,6.992500,6.992500,0.439168,0
2008-04-11,7.115000,7.115000,7.115000,7.115000,0.446861,0
2008-04-14,6.932500,6.932500,6.932500,6.932500,0.435399,0
2008-04-15,7.000000,7.000000,7.000000,7.000000,0.439639,400
2008-04-16,7.065000,7.065000,7.065000,7.065000,0.443721,0
2008-04-17,6.902500,6.902500,6.902500,6.902500,0.433515,800
2008-04-18,6.885000,6.885000,6.885000,6.885000,0.432416,0
2008-04-21,6.872500,6.872500,6.872500,6.872500,0.431631,0
2008-04-22,6.900000,6.900000,6.900000,6.900000,0.433358,10800
2008-04-23,6.837500,6.837500,6.837500,6.837500,0.429433,0
2008-04-24,6.772500,6.772500,6.772500,6.772500,0.425350,1600
2008-04-25,6.895000,7.025000,6.895000,7.025000,0.441209,400
2008-04-28,6.850000,6.852500,6.850000,6.852500,0.430375,400
2008-04-29,6.897500,6.905000,6.897500,6.905000,0.433672,400
2008-04-30,6.850000,6.850000,6.850000,6.850000,0.430218,0
2008-05-02,7.032500,7.032500,7.032500,7.032500,0.441680,800
2008-05-05,7.010000,7.010000,7.010000,7.010000,0.440267,0
2008-05-06,7.022500,7.022500,7.022500,7.022500,0.441052,0
2008-05-07,6.940000,6.940000,6.940000,6.940000,0.435870,0
2008-05-08,6.765000,6.765000,6.765000,6.765000,0.424879,0
2008-05-09,6.677500,6.677500,6.677500,6.677500,0.419384,0
2008-05-12,6.787500,6.787500,6.787500,6.787500,0.426293,0
2008-05-13,6.897500,7.050000,6.897500,7.050000,0.442779,400
2008-05-14,7.700000,7.700000,7.700000,7.700000,0.483603,800
2008-05-15,7.530000,7.530000,7.530000,7.530000,0.472926,0
2008-05-16,7.672500,7.672500,7.647500,7.647500,0.480305,400
