Date,Open,High,Low,Close,Adj Close,Volume
1996-01-11,5.625000,5.812500,5.625000,5.812500,3.498130,336800
1996-01-12,5.812500,5.812500,5.750000,5.812500,3.498130,101200
1996-01-15,5.750000,5.750000,5.750000,5.750000,3.460516,24400
1996-01-16,5.812500,5.875000,5.812500,5.875000,3.535746,6000
1996-01-17,5.812500,5.812500,5.812500,5.812500,3.498130,48800
1996-01-18,5.812500,5.812500,5.812500,5.812500,3.498130,4000
1996-01-19,5.812500,5.875000,5.812500,5.875000,3.535746,4800
1996-01-22,5.875000,5.875000,5.812500,5.812500,3.498130,96400
1996-01-23,5.750000,5.750000,5.750000,5.750000,3.460516,2000
1996-01-24,5.750000,5.750000,5.687500,5.687500,3.422903,8400
1996-01-25,5.625000,5.625000,5.562500,5.562500,3.347673,4000
1996-01-26,5.437500,5.437500,5.312500,5.375000,3.234830,150400
1996-01-29,5.375000,5.375000,5.375000,5.375000,3.234830,24400
1996-01-30,5.375000,5.437500,5.187500,5.250000,3.159603,243000
1996-01-31,5.250000,5.312500,5.250000,5.312500,3.197216,362200
1996-02-01,5.312500,5.437500,5.312500,5.437500,3.272445,160000
1996-02-02,5.437500,5.500000,5.437500,5.500000,3.310058,10400
1996-02-05,5.375000,5.375000,5.312500,5.375000,3.234830,26000
1996-02-06,5.375000,5.437500,5.375000,5.375000,3.234830,79000
1996-02-07,5.375000,5.437500,5.375000,5.437500,3.272445,24200
1996-02-08,5.375000,5.375000,5.375000,5.375000,3.234830,18200
1996-02-09,5.375000,5.437500,5.312500,5.312500,3.197216,45400
1996-02-12,5.312500,5.375000,5.312500,5.312500,3.197216,160400
1996-02-13,5.375000,5.375000,5.375000,5.375000,3.234830,13000
1996-02-14,5.312500,5.312500,5.312500,5.312500,3.197216,288200
1996-02-15,5.375000,5.375000,5.312500,5.312500,3.197216,32200
1996-02-16,5.312500,5.312500,5.250000,5.250000,3.159603,223000
1996-02-20,5.125000,5.125000,5.125000,5.125000,3.084374,7400
1996-02-21,5.125000,5.187500,5.125000,5.187500,3.121988,13600
1996-02-22,5.125000,5.125000,5.125000,5.125000,3.084374,6000
1996-02-23,5.125000,5.125000,5.062500,5.062500,3.046760,23600
1996-02-26,5.062500,5.062500,5.062500,5.062500,3.046760,112200
1996-02-27,5.062500,5.062500,5.000000,5.000000,3.009145,75800
1996-02-28,5.062500,5.062500,5.062500,5.062500,3.046760,72200
1996-02-29,5.000000,5.000000,5.000000,5.000000,3.009145,55000
1996-03-01,5.000000,5.000000,5.000000,5.000000,3.009145,8000
1996-03-04,5.000000,5.000000,5.000000,5.000000,3.009145,2000
1996-03-05,5.000000,5.062500,5.000000,5.062500,3.046760,142800
