Date,Open,High,Low,Close,Adj Close,Volume
1992-02-13,2.000000,2.093750,2.000000,2.046875,1.679313,18506400
1992-02-14,2.062500,2.281250,2.062500,2.250000,1.845963,3128000
1992-02-18,2.218750,2.281250,2.062500,2.062500,1.692133,2584800
1992-02-19,2.093750,2.156250,2.031250,2.156250,1.769046,2454400
1992-02-20,2.125000,2.281250,2.125000,2.218750,1.820324,1304000
1992-02-21,2.218750,2.281250,2.218750,2.281250,1.871600,616800
1992-02-24,2.218750,2.312500,2.218750,2.312500,1.897240,772800
1992-02-25,2.265625,2.312500,2.250000,2.281250,1.871600,517600
1992-02-26,2.312500,2.343750,2.250000,2.343750,1.922877,851200
1992-02-27,2.281250,2.437500,2.281250,2.406250,1.974155,555200
1992-02-28,2.437500,2.593750,2.375000,2.531250,2.076707,1108800
1992-03-02,2.593750,2.609375,2.468750,2.562500,2.102347,873600
1992-03-03,2.546875,2.562500,2.437500,2.468750,2.025432,512000
1992-03-04,2.468750,2.531250,2.437500,2.437500,1.999793,163200
1992-03-05,2.531250,2.531250,2.343750,2.343750,1.922877,707200
1992-03-06,2.390625,2.437500,2.343750,2.343750,1.922877,765600
1992-03-09,2.343750,2.437500,2.343750,2.390625,1.961336,766400
1992-03-10,2.343750,2.437500,2.343750,2.437500,1.999793,93600
1992-03-11,2.500000,2.531250,2.437500,2.453125,2.012612,222400
1992-03-12,2.437500,2.531250,2.437500,2.437500,1.999793,89600
1992-03-13,2.437500,2.562500,2.437500,2.531250,2.076707,211200
1992-03-16,2.500000,2.562500,2.500000,2.562500,2.102347,94400
1992-03-17,2.468750,2.562500,2.468750,2.468750,2.025432,150400
1992-03-18,2.468750,2.468750,2.468750,2.468750,2.025432,52000
1992-03-19,2.562500,2.562500,2.437500,2.437500,1.999793,68800
1992-03-20,2.437500,2.531250,2.437500,2.531250,2.076707,124800
1992-03-23,2.437500,2.515625,2.437500,2.484375,2.038249,314400
1992-03-24,2.468750,2.515625,2.437500,2.437500,1.999793,437600
1992-03-25,2.531250,2.531250,2.437500,2.468750,2.025432,79200
1992-03-26,2.406250,2.421875,2.406250,2.406250,1.974155,47200
1992-03-27,2.500000,2.500000,2.437500,2.500000,2.051069,79200
1992-03-30,2.437500,2.500000,2.437500,2.468750,2.025432,46400
1992-03-31,2.437500,2.500000,2.437500,2.500000,2.051069,107200
1992-04-01,2.437500,2.500000,2.406250,2.437500,1.999793,356000
1992-04-02,2.500000,2.500000,2.437500,2.468750,2.025432,51200
1992-04-03,2.437500,2.500000,2.437500,2.468750,2.025432,116800
1992-04-06,2.437500,2.500000,2.437500,2.437500,1.999793,71200
1992-04-07,2.437500,2.562500,2.437500,2.500000,2.051069,116000
1992-04-08,2.437500,2.500000,2.437500,2.500000,2.051069,247200
1992-04-09,2.437500,2.531250,2.437500,2.468750,2.025432,36000
1992-04-10,2.468750,2.531250,2.468750,2.468750,2.025432,87200
1992-04-13,2.468750,2.531250,2.468750,2.468750,2.025432,16000
1992-04-14,2.531250,2.531250,2.468750,2.468750,2.025432,25600
1992-04-15,2.468750,2.500000,2.437500,2.437500,1.999793,84800
1992-04-16,2.468750,2.500000,2.437500,2.437500,1.999793,62400
1992-04-20,2.406250,2.406250,2.375000,2.375000,1.952520,59200
1992-04-21,2.375000,2.375000,2.375000,2.375000,1.952520,7200
1992-04-22,2.375000,2.468750,2.375000,2.468750,2.029595,7200
1992-04-23,2.375000,2.421875,2.375000,2.375000,1.952520,179200
1992-04-24,2.375000,2.437500,2.343750,2.406250,1.978212,252800
1992-04-27,2.343750,2.437500,2.343750,2.343750,1.926830,62400
1992-04-28,2.312500,2.343750,2.250000,2.250000,1.849758,99200
1992-04-29,2.343750,2.343750,2.250000,2.281250,1.875448,552000
1992-04-30,2.343750,2.343750,2.250000,2.250000,1.849758,128000
1992-05-01,2.312500,2.312500,2.312500,2.312500,1.901139,6400
1992-05-04,2.250000,2.312500,2.250000,2.312500,1.901139,38400
1992-05-05,2.250000,2.250000,2.203125,2.250000,1.849758,55200
1992-05-06,2.187500,2.250000,2.187500,2.187500,1.798375,461600
1992-05-07,2.187500,2.187500,2.125000,2.125000,1.746992,28800
1992-05-08,2.125000,2.250000,2.125000,2.156250,1.772683,551200
1992-05-11,2.156250,2.250000,2.156250,2.250000,1.849758,135200
1992-05-12,2.156250,2.343750,2.156250,2.218750,1.824066,291200
1992-05-13,2.312500,2.312500,2.234375,2.234375,1.836912,52800
1992-05-14,2.218750,2.234375,2.218750,2.218750,1.824066,326400
1992-05-15,2.218750,2.218750,2.218750,2.218750,1.824066,800
1992-05-18,2.218750,2.218750,2.218750,2.218750,1.824066,2400
1992-05-19,2.218750,2.218750,2.218750,2.218750,1.824066,27200
1992-05-20,2.187500,2.250000,2.156250,2.156250,1.772683,62400
1992-05-21,2.156250,2.156250,2.031250,2.093750,1.721301,151200
1992-05-22,2.093750,2.093750,2.031250,2.062500,1.695611,77600
1992-05-26,1.937500,1.937500,1.750000,1.921875,1.580001,1848800
1992-05-27,1.875000,2.000000,1.875000,1.968750,1.618537,980000
1992-05-28,1.921875,2.000000,1.843750,1.890625,1.554309,801600
1992-05-29,1.906250,1.906250,1.859375,1.875000,1.541464,256000
1992-06-01,1.843750,1.906250,1.812500,1.875000,1.541464,144800
1992-06-02,1.906250,1.906250,1.812500,1.859375,1.528618,235200
1992-06-03,1.906250,1.906250,1.812500,1.812500,1.490082,50400
1992-06-04,1.812500,1.875000,1.812500,1.875000,1.541464,874400
1992-06-05,1.875000,1.875000,1.875000,1.875000,1.541464,4000
1992-06-08,1.906250,1.906250,1.906250,1.906250,1.567155,1600
1992-06-09,1.812500,1.875000,1.812500,1.828125,1.502927,1157600
1992-06-10,1.875000,1.875000,1.812500,1.812500,1.490082,16800
1992-06-11,1.843750,1.875000,1.812500,1.875000,1.541464,36000
1992-06-12,1.875000,1.875000,1.812500,1.812500,1.490082,104000
1992-06-15,1.812500,1.812500,1.718750,1.750000,1.438700,316800
1992-06-16,1.781250,1.781250,1.718750,1.781250,1.464391,108000
1992-06-17,1.718750,1.750000,1.718750,1.734375,1.425855,243200
1992-06-18,1.687500,1.703125,1.656250,1.687500,1.387318,1378400
1992-06-19,1.656250,1.750000,1.656250,1.750000,1.438700,1427200
1992-06-22,1.750000,1.750000,1.687500,1.687500,1.387318,14400
1992-06-23,1.656250,1.718750,1.656250,1.718750,1.417208,6400
1992-06-24,1.703125,1.703125,1.656250,1.671875,1.378557,1123200
1992-06-25,1.750000,1.750000,1.625000,1.625000,1.339906,159200
1992-06-26,1.593750,1.656250,1.468750,1.562500,1.288371,258400
