Date,Open,High,Low,Close,Adj Close,Volume
1995-01-12,5.937500,5.937500,5.845000,5.907500,2.112836,394400
1995-01-13,5.937500,5.937500,5.782500,5.812500,2.078859,76000
1995-01-16,5.812500,5.845000,5.782500,5.812500,2.078859,70400
1995-01-17,5.782500,5.782500,5.687500,5.750000,2.056507,112400
1995-01-18,5.687500,5.720000,5.687500,5.687500,2.034152,60800
1995-01-19,5.687500,5.720000,5.657500,5.687500,2.034152,51200
1995-01-20,5.687500,5.687500,5.625000,5.687500,2.034152,39200
1995-01-23,5.687500,5.687500,5.562500,5.562500,1.989446,81200
1995-01-24,5.562500,5.657500,5.562500,5.625000,2.011799,333200
1995-01-25,5.595000,5.782500,5.595000,5.782500,2.068130,68800
1995-01-26,5.750000,5.812500,5.720000,5.750000,2.056507,90000
1995-01-27,5.750000,5.750000,5.687500,5.750000,2.056507,252000
1995-01-30,5.720000,5.720000,5.657500,5.720000,2.045777,352800
1995-01-31,5.720000,5.937500,5.687500,5.937500,2.123567,215200
1995-02-01,5.907500,5.937500,5.845000,5.845000,2.090483,278400
1995-02-02,5.812500,5.907500,5.812500,5.907500,2.112836,117200
1995-02-03,5.845000,6.032500,5.845000,6.000000,2.145920,108000
1995-02-06,6.000000,6.032500,6.000000,6.032500,2.157543,65600
1995-02-07,6.032500,6.032500,5.970000,6.000000,2.145920,67200
1995-02-08,6.032500,6.095000,6.032500,6.095000,2.179896,89600
1995-02-09,6.062500,6.157500,6.062500,6.157500,2.202250,77200
1995-02-10,6.095000,6.095000,6.000000,6.000000,2.145920,105600
1995-02-13,6.032500,6.032500,5.937500,5.970000,2.135190,59600
1995-02-14,5.937500,6.032500,5.937500,6.000000,2.145920,51200
1995-02-15,5.970000,6.032500,5.970000,6.000000,2.145920,40800
1995-02-16,6.000000,6.062500,6.000000,6.032500,2.157543,94000
1995-02-17,6.032500,6.062500,6.000000,6.000000,2.145920,68000
1995-02-20,6.032500,6.032500,6.000000,6.000000,2.145920,77200
1995-02-21,6.000000,6.062500,6.000000,6.062500,2.168274,837200
1995-02-22,6.062500,6.095000,6.032500,6.095000,2.179896,30800
1995-02-23,6.095000,6.157500,6.062500,6.157500,2.202250,104400
1995-02-24,6.125000,6.157500,6.125000,6.157500,2.202250,82400
1995-02-27,6.187500,6.220000,6.187500,6.187500,2.212978,52800
1995-02-28,6.187500,6.220000,6.187500,6.220000,2.224602,84800
1995-03-01,6.220000,6.312500,6.187500,6.282500,2.246956,329200
1995-03-02,6.312500,6.312500,6.220000,6.220000,2.224602,50800
1995-03-03,6.250000,6.250000,6.187500,6.187500,2.212978,44400
1995-03-06,6.062500,6.125000,6.062500,6.095000,2.207546,49600
1995-03-07,6.032500,6.095000,6.000000,6.000000,2.173138,82800
1995-03-08,6.000000,6.032500,5.970000,5.970000,2.162272,83600
1995-03-09,6.000000,6.000000,5.937500,5.970000,2.162272,60400
1995-03-10,5.970000,6.000000,5.970000,5.970000,2.162272,68400
1995-03-13,6.000000,6.062500,6.000000,6.062500,2.195776,58800
1995-03-14,6.032500,6.062500,6.000000,6.032500,2.184910,65200
1995-03-15,6.032500,6.062500,5.970000,6.062500,2.195776,134000
1995-03-16,6.032500,6.062500,6.000000,6.032500,2.184910,62400
1995-03-17,6.000000,6.062500,6.000000,6.062500,2.195776,255200
1995-03-20,6.062500,6.062500,6.000000,6.062500,2.195776,161200
1995-03-21,6.032500,6.062500,6.000000,6.032500,2.184910,95600
1995-03-22,6.032500,6.032500,5.970000,6.032500,2.184910,58000
1995-03-23,6.000000,6.032500,5.970000,6.032500,2.184910,94800
1995-03-24,6.000000,6.062500,6.000000,6.062500,2.195776,187600
1995-03-27,6.062500,6.095000,6.032500,6.095000,2.207546,102800
1995-03-28,6.095000,6.095000,6.032500,6.062500,2.195776,157200
1995-03-29,6.062500,6.062500,6.000000,6.000000,2.173138,114400
1995-03-30,6.062500,6.062500,5.970000,6.000000,2.173138,204800
1995-03-31,5.970000,6.000000,5.970000,6.000000,2.173138,75600
