Date,Open,High,Low,Close,Adj Close,Volume
1987-06-12,2.006067,2.085854,1.960475,2.051660,0.492594,50527023
1987-06-15,2.108650,2.120048,2.051660,2.063058,0.495331,17437104
1987-06-16,2.063058,2.063058,1.971873,1.983271,0.476175,14805088
1987-06-17,2.006067,2.006067,1.971873,1.994669,0.478911,4271542
1987-06-18,1.994669,2.085854,1.994669,2.085854,0.500804,8514571
1987-06-19,2.074456,2.222631,2.051660,2.177039,0.522697,13927749
1987-06-22,2.188437,2.256826,2.188437,2.256826,0.541854,11844070
1987-06-23,2.245427,2.245427,2.188437,2.222631,0.533644,4225482
1987-06-24,2.108650,2.165641,2.108650,2.108650,0.506277,2632016
1987-06-25,2.142844,2.222631,2.142844,2.199835,0.528171,8267819
1987-06-26,2.211233,2.222631,2.177039,2.188437,0.525434,6136983
1987-06-29,2.188437,2.188437,2.142844,2.188437,0.525434,1933435
1987-06-30,2.165641,2.165641,2.131446,2.142844,0.514487,3532384
1987-07-01,2.165641,2.165641,2.074456,2.085854,0.500804,5266225
1987-07-02,2.074456,2.108650,2.063058,2.074456,0.498067,2308497
1987-07-06,2.097252,2.131446,2.097252,2.120048,0.509014,2133029
1987-07-07,2.120048,2.177039,2.120048,2.154243,0.517224,4455783
1987-07-08,2.165641,2.222631,2.097252,2.211233,0.530907,10008239
1987-07-09,2.222631,2.291020,2.211233,2.268224,0.544590,14256751
1987-07-10,2.302418,2.313816,2.234029,2.234029,0.536380,7440928
1987-07-13,2.211233,2.222631,2.199835,2.222631,0.533644,4945996
1987-07-14,2.211233,2.222631,2.188437,2.199835,0.528171,5699411
1987-07-15,2.222631,2.302418,2.211233,2.291020,0.550064,9826192
1987-07-16,2.313816,2.416399,2.313816,2.416399,0.580166,12721409
1987-07-17,2.450593,2.507584,2.450593,2.484788,0.596586,15682426
1987-07-20,2.484788,2.484788,2.439195,2.439195,0.585640,7806120
1987-07-21,2.416399,2.439195,2.405001,2.405001,0.577430,9786711
1987-07-22,2.382205,2.393603,2.313816,2.313816,0.555537,4136651
1987-07-23,2.348010,2.393603,2.336612,2.336612,0.561010,6955101
1987-07-24,2.348010,2.450593,2.348010,2.382205,0.571957,6717123
1987-07-27,2.405001,2.439195,2.359408,2.370807,0.569220,3589411
1987-07-28,2.393603,2.450593,2.393603,2.439195,0.585640,4317602
1987-07-29,2.496186,2.518982,2.473390,2.507584,0.602060,8657138
1987-07-30,2.541778,2.553176,2.518982,2.518982,0.604796,4575321
1987-07-31,2.564574,2.644361,2.564574,2.644361,0.634899,4292379
1987-08-03,2.644361,2.667157,2.575973,2.575973,0.618480,1615400
1987-08-04,2.587371,2.610167,2.541778,2.610167,0.626689,3102488
1987-08-05,2.553176,2.553176,2.507584,2.507584,0.602060,6603069
1987-08-06,2.530380,2.530380,2.496186,2.507584,0.602060,1742614
1987-08-07,2.530380,2.644361,2.530380,2.610167,0.626689,2834900
1987-08-10,2.655759,2.689954,2.644361,2.667157,0.640372,3494001
1987-08-11,2.678556,2.678556,2.621565,2.667157,0.640372,3763782
1987-08-12,2.678556,2.678556,2.644361,2.655759,0.637636,3195706
1987-08-13,2.621565,2.632963,2.598769,2.610167,0.626689,1416902
1987-08-14,2.632963,2.632963,2.541778,2.553176,0.613006,4564354
1987-08-17,2.541778,2.541778,2.507584,2.518982,0.604796,2296434
1987-08-18,2.541778,2.541778,2.507584,2.530380,0.607533,1818284
1987-08-19,2.507584,2.507584,2.484788,2.496186,0.599323,2124256
1987-08-20,2.530380,2.530380,2.484788,2.518982,0.604796,2468611
1987-08-21,2.541778,2.541778,2.507584,2.530380,0.607533,652521
1987-08-24,2.541778,2.610167,2.541778,2.575973,0.618480,859792
1987-08-25,2.587371,2.598769,2.575973,2.587371,0.621216,3306470
1987-08-26,2.598769,2.598769,2.553176,2.553176,0.613006,2934697
1987-08-27,2.564574,2.610167,2.553176,2.598769,0.623953,3112358
1987-08-28,2.587371,2.644361,2.553176,2.587371,0.621216,1437739
1987-08-31,2.610167,2.621565,2.598769,2.598769,0.623953,1071450
