Date,Open,High,Low,Close,Adj Close,Volume
2014-09-17,0.002988,0.003128,0.002928,0.003072,0.003072,118073
2014-09-18,0.003081,0.003768,0.003055,0.003456,0.003456,205474
2014-09-19,0.003460,0.004026,0.003160,0.003872,0.003872,204649
2014-09-20,0.003936,0.004304,0.003309,0.003612,0.003612,186971
2014-09-21,0.003610,0.003862,0.003296,0.003464,0.003464,145626
2014-09-22,0.003466,0.004081,0.003447,0.004023,0.004023,178810
2014-09-23,0.004007,0.004102,0.003754,0.003965,0.003965,120447
2014-09-24,0.003966,0.004068,0.003425,0.003890,0.003890,163121
2014-09-25,0.003878,0.003901,0.003422,0.003494,0.003494,81902
2014-09-26,0.003600,0.003600,0.002902,0.003050,0.003050,117908
2014-09-27,0.003044,0.003342,0.002905,0.003263,0.003263,44492
2014-09-28,0.003262,0.003460,0.003105,0.003174,0.003174,77804
2014-09-29,0.003170,0.003427,0.003074,0.003212,0.003212,32858
2014-09-30,0.003227,0.003268,0.003131,0.003211,0.003211,21131
2014-10-01,0.003221,0.003283,0.002798,0.002880,0.002880,70180
2014-10-02,0.002888,0.003048,0.002738,0.002773,0.002773,30542
2014-10-03,0.002743,0.002795,0.002596,0.002601,0.002601,34169
2014-10-04,0.002604,0.002670,0.002371,0.002371,0.002371,45969
2014-10-05,0.002441,0.002512,0.002129,0.002387,0.002387,29396
2014-10-06,0.002384,0.002729,0.002288,0.002574,0.002574,34446
2014-10-07,0.002578,0.002635,0.002349,0.002447,0.002447,35420
2014-10-08,0.002420,0.002486,0.002296,0.002477,0.002477,28232
2014-10-09,0.002475,0.002495,0.002273,0.002358,0.002358,11066
2014-10-10,0.002356,0.002418,0.002198,0.002309,0.002309,14307
2014-10-11,0.002308,0.002446,0.002283,0.002336,0.002336,34909
2014-10-12,0.002338,0.002457,0.001972,0.002243,0.002243,76978
2014-10-13,0.002240,0.002372,0.002134,0.002299,0.002299,44927
2014-10-14,0.002309,0.002411,0.002264,0.002352,0.002352,32533
2014-10-15,0.002352,0.002363,0.002123,0.002174,0.002174,46516
2014-10-16,0.002173,0.002221,0.001950,0.002080,0.002080,39044
2014-10-17,0.002081,0.002127,0.001986,0.002021,0.002021,22242
2014-10-18,0.002022,0.002157,0.002001,0.002059,0.002059,27435
2014-10-19,0.002058,0.002195,0.002023,0.002023,0.002023,18945
2014-10-20,0.002021,0.002138,0.001970,0.002023,0.002023,38282
2014-10-21,0.002022,0.002114,0.002013,0.002070,0.002070,26101
2014-10-22,0.002062,0.002077,0.001982,0.002034,0.002034,19376
2014-10-23,0.002021,0.002033,0.001895,0.001914,0.001914,15614
2014-10-24,0.001915,0.002029,0.001895,0.001958,0.001958,29512
2014-10-25,0.001959,0.001988,0.001864,0.001892,0.001892,13101
2014-10-26,0.001893,0.001952,0.001864,0.001941,0.001941,9559
2014-10-27,0.001941,0.001998,0.001887,0.001956,0.001956,14396
2014-10-28,0.001957,0.001995,0.001550,0.001655,0.001655,73811
2014-10-29,0.001675,0.001947,0.001619,0.001696,0.001696,24172
2014-10-30,0.001696,0.001752,0.001656,0.001735,0.001735,13179
2014-10-31,0.001748,0.001754,0.001647,0.001681,0.001681,10733
2014-11-01,0.001686,0.001693,0.001525,0.001548,0.001548,494272
2014-11-02,0.001549,0.001599,0.001520,0.001584,0.001584,9242
2014-11-03,0.001582,0.001761,0.001581,0.001693,0.001693,15149
2014-11-04,0.001691,0.001704,0.001653,0.001703,0.001703,9766
2014-11-05,0.001704,0.001779,0.001704,0.001755,0.001755,10617
2014-11-06,0.001755,0.001781,0.001713,0.001764,0.001764,13531
2014-11-07,0.001767,0.001919,0.001672,0.001688,0.001688,11531
2014-11-08,0.001687,0.001762,0.001678,0.001734,0.001734,4483
2014-11-09,0.001733,0.001795,0.001705,0.001757,0.001757,12705
2014-11-10,0.001752,0.001836,0.001732,0.001799,0.001799,16001
2014-11-11,0.001794,0.001850,0.001744,0.001753,0.001753,12534
2014-11-12,0.001755,0.001908,0.001728,0.001859,0.001859,15430
2014-11-13,0.001868,0.001921,0.001673,0.001793,0.001793,17376
2014-11-14,0.001787,0.001787,0.001656,0.001713,0.001713,10411
2014-11-15,0.001720,0.001742,0.001589,0.001624,0.001624,5382
2014-11-16,0.001618,0.001681,0.001596,0.001637,0.001637,5267
2014-11-17,0.001638,0.001706,0.001542,0.001608,0.001608,8443
2014-11-18,0.001610,0.001643,0.001227,0.001357,0.001357,16762
2014-11-19,0.001352,0.001583,0.001348,0.001548,0.001548,16849
2014-11-20,0.001549,0.001607,0.001510,0.001589,0.001589,14782
2014-11-21,0.001589,0.001609,0.001505,0.001563,0.001563,10260
2014-11-22,0.001565,0.001930,0.001562,0.001809,0.001809,35206
2014-11-23,0.001810,0.002181,0.001794,0.002165,0.002165,42071
2014-11-24,0.002164,0.002202,0.001947,0.001957,0.001957,13496
2014-11-25,0.001957,0.002096,0.001871,0.001898,0.001898,14659
2014-11-26,0.001900,0.002130,0.001883,0.002130,0.002130,32114
2014-11-27,0.002139,0.004014,0.002103,0.003426,0.003426,544484
2014-11-28,0.003429,0.003429,0.002765,0.002861,0.002861,209843
2014-11-29,0.002810,0.002812,0.002404,0.002521,0.002521,109351
2014-11-30,0.002521,0.002522,0.002113,0.002210,0.002210,61162
2014-12-01,0.002211,0.002681,0.002133,0.002541,0.002541,73122
2014-12-02,0.002541,0.002621,0.002261,0.002409,0.002409,48024
2014-12-03,0.002409,0.002480,0.002297,0.002373,0.002373,23620
2014-12-04,0.002375,0.002412,0.002253,0.002375,0.002375,27557
2014-12-05,0.002374,0.002437,0.002295,0.002356,0.002356,20562
2014-12-06,0.002356,0.002453,0.002306,0.002407,0.002407,31683
2014-12-07,0.002407,0.002408,0.002306,0.002329,0.002329,23877
2014-12-08,0.002330,0.002466,0.002285,0.002339,0.002339,34383
2014-12-09,0.002339,0.002342,0.002183,0.002249,0.002249,32197
2014-12-10,0.002251,0.002481,0.002245,0.002435,0.002435,38567
2014-12-11,0.002427,0.002673,0.002336,0.002585,0.002585,44075
2014-12-12,0.002554,0.002554,0.002435,0.002525,0.002525,29877
2014-12-13,0.002524,0.002553,0.002460,0.002553,0.002553,21918
2014-12-14,0.002539,0.002652,0.002422,0.002475,0.002475,27160
2014-12-15,0.002474,0.002604,0.002438,0.002574,0.002574,43740
2014-12-16,0.002573,0.003465,0.002480,0.003250,0.003250,259325
2014-12-17,0.003261,0.004530,0.003214,0.004104,0.004104,883715
2014-12-18,0.004130,0.006183,0.004012,0.006146,0.006146,1247810
2014-12-19,0.006080,0.009421,0.005220,0.006130,0.006130,2205890
2014-12-20,0.005669,0.006207,0.004788,0.005813,0.005813,736524
2014-12-21,0.005886,0.006261,0.005554,0.005871,0.005871,356552
2014-12-22,0.005925,0.006196,0.005553,0.005907,0.005907,329485
2014-12-23,0.005907,0.006228,0.005574,0.005820,0.005820,219787
2014-12-24,0.005774,0.005866,0.005069,0.005101,0.005101,158568
2014-12-25,0.005102,0.006204,0.005085,0.005800,0.005800,244758
2014-12-26,0.005788,0.006286,0.005742,0.006213,0.006213,125258
2014-12-27,0.006195,0.006294,0.005708,0.006015,0.006015,88666
2014-12-28,0.006005,0.006113,0.005484,0.005800,0.005800,117923
2014-12-29,0.005805,0.006038,0.005535,0.005620,0.005620,93475
2014-12-30,0.005591,0.005778,0.005304,0.005484,0.005484,97500
2014-12-31,0.005479,0.005606,0.005344,0.005516,0.005516,42091
2015-01-01,0.005517,0.005551,0.005406,0.005493,0.005493,20514
2015-01-02,0.005438,0.005605,0.005424,0.005481,0.005481,55381
2015-01-03,0.005473,0.005494,0.004669,0.004672,0.004672,135921
2015-01-04,0.004572,0.004773,0.004253,0.004416,0.004416,137593
2015-01-05,0.004422,0.005094,0.004410,0.004947,0.004947,144416
2015-01-06,0.004969,0.005005,0.004781,0.004972,0.004972,73403
