Date,Open,High,Low,Close,Adj Close,Volume
2016-08-19,5.030000,5.080000,5.030000,5.040000,4.408112,12400
2016-08-22,4.980000,5.050000,4.980000,5.040000,4.408112,5000
2016-08-23,5.110000,5.120000,5.070000,5.070000,4.434351,12100
2016-08-24,5.060000,5.060000,5.060000,5.060000,4.425604,3300
2016-08-25,4.970000,4.980000,4.940000,4.940000,4.320649,8000
2016-08-26,5.050000,5.080000,4.960000,5.010000,4.381873,3800
2016-08-29,4.980000,5.000000,4.980000,5.000000,4.373127,3800
2016-08-30,5.040000,5.050000,5.010000,5.040000,4.408112,5700
2016-08-31,5.050000,5.050000,5.010000,5.020000,4.390619,5900
2016-09-01,5.040000,5.070000,5.020000,5.070000,4.434351,6600
2016-09-02,5.070000,5.070000,5.060000,5.060000,4.425604,1200
2016-09-06,5.070000,5.110000,5.070000,5.110000,4.469335,6900
2016-09-07,5.220000,5.230000,5.190000,5.200000,4.548051,31200
2016-09-08,5.170000,5.200000,5.160000,5.180000,4.530559,7100
2016-09-09,5.200000,5.220000,5.130000,5.140000,4.495574,46200
2016-09-12,5.090000,5.200000,5.080000,5.200000,4.548051,52200
2016-09-13,5.140000,5.160000,5.080000,5.110000,4.469335,48300
2016-09-14,5.070000,5.130000,5.070000,5.090000,4.451843,4300
2016-09-15,5.060000,5.140000,5.060000,5.100000,4.460589,17000
2016-09-16,4.960000,4.990000,4.940000,4.990000,4.364380,48000
2016-09-19,5.040000,5.040000,5.010000,5.020000,4.390619,11800
2016-09-20,5.040000,5.040000,4.980000,5.010000,4.381873,8000
2016-09-21,5.000000,5.040000,4.980000,5.010000,4.381873,20100
2016-09-22,5.150000,5.170000,5.120000,5.130000,4.486828,71100
2016-09-23,5.040000,5.090000,5.040000,5.060000,4.425604,12300
2016-09-26,5.020000,5.020000,4.960000,4.970000,4.346887,7600
2016-09-27,4.810000,4.880000,4.790000,4.870000,4.259425,56000
2016-09-28,4.980000,5.030000,4.950000,5.010000,4.381873,8400
2016-09-29,5.020000,5.020000,4.900000,4.950000,4.329395,5500
2016-09-30,4.970000,5.090000,4.970000,5.050000,4.416858,40900
2016-10-03,5.050000,5.050000,4.980000,5.010000,4.381873,15000
2016-10-04,5.190000,5.220000,5.150000,5.180000,4.530559,73000
2016-10-05,5.260000,5.280000,5.240000,5.250000,4.591783,135700
2016-10-06,5.260000,5.270000,5.240000,5.240000,4.583036,40600
2016-10-07,5.200000,5.230000,5.150000,5.180000,4.530559,39600
2016-10-10,5.250000,5.270000,5.250000,5.260000,4.600529,33200
2016-10-11,5.220000,5.220000,5.140000,5.140000,4.495574,44400
2016-10-12,5.110000,5.150000,5.100000,5.150000,4.504320,8700
2016-10-13,5.000000,5.090000,4.990000,5.070000,4.434351,12400
2016-10-14,5.160000,5.210000,5.160000,5.190000,4.539305,16600
2016-10-17,5.130000,5.130000,5.090000,5.090000,4.451843,7100
2016-10-18,5.150000,5.170000,5.130000,5.160000,4.513067,7100
2016-10-19,5.180000,5.180000,5.140000,5.180000,4.530559,12700
2016-10-20,5.180000,5.250000,5.180000,5.250000,4.591783,42300
2016-10-21,5.160000,5.220000,5.160000,5.210000,4.556798,39700
2016-10-24,5.260000,5.280000,5.260000,5.280000,4.618021,12400
2016-10-25,5.280000,5.290000,5.240000,5.240000,4.583036,17800
2016-10-26,5.240000,5.260000,5.200000,5.240000,4.583036,11400
2016-10-27,5.280000,5.300000,5.280000,5.280000,4.618021,13700
2016-10-28,5.320000,5.340000,5.300000,5.340000,4.670499,38000
2016-10-31,5.310000,5.340000,5.310000,5.340000,4.670499,7200
2016-11-01,5.360000,5.360000,5.260000,5.310000,4.644260,19900
2016-11-02,5.200000,5.210000,5.150000,5.150000,4.504320,29000
2016-11-03,5.170000,5.180000,5.120000,5.150000,4.504320,7800
2016-11-04,5.100000,5.140000,5.100000,5.110000,4.469335,3200
2016-11-07,5.080000,5.140000,5.080000,5.110000,4.469335,341900
2016-11-08,5.010000,5.110000,5.000000,5.090000,4.451843,30700
2016-11-09,4.950000,5.000000,4.920000,4.970000,4.346887,24500
