Date,Open,High,Low,Close,Adj Close,Volume
2016-08-19,10.300000,10.380000,10.300000,10.340000,9.639102,14200
2016-08-22,10.280000,10.480000,10.230000,10.300000,9.601813,22500
2016-08-23,10.430000,10.490000,10.390000,10.450000,9.741645,39100
2016-08-24,10.410000,10.460000,10.350000,10.400000,9.695035,29100
2016-08-25,10.200000,10.210000,10.130000,10.170000,9.480625,90100
2016-08-26,10.330000,10.430000,10.210000,10.270000,9.573847,62000
2016-08-29,10.020000,10.300000,10.020000,10.260000,9.564524,281700
2016-08-30,10.150000,10.150000,10.010000,10.060000,9.378081,45200
2016-08-31,10.060000,10.140000,10.040000,10.110000,9.424692,21100
2016-09-01,10.080000,10.150000,10.040000,10.070000,9.387403,154400
2016-09-02,10.210000,10.440000,10.210000,10.380000,9.676390,28800
2016-09-06,10.480000,10.480000,10.270000,10.350000,9.648424,80600
2016-09-07,10.210000,10.270000,10.150000,10.190000,9.499268,107900
2016-09-08,9.990000,10.010000,9.900000,9.940000,9.266215,39700
2016-09-09,9.900000,9.900000,9.530000,9.580000,8.930617,65600
2016-09-12,9.420000,9.650000,9.390000,9.590000,8.939939,48300
2016-09-13,9.570000,9.590000,9.440000,9.480000,8.837398,24100
2016-09-14,9.540000,9.620000,9.540000,9.570000,8.921297,6900
2016-09-15,9.580000,9.680000,9.560000,9.680000,9.023840,1158500
2016-09-16,9.510000,9.530000,9.430000,9.480000,8.837398,52000
2016-09-19,9.690000,9.690000,9.540000,9.630000,8.977229,18900
2016-09-20,9.570000,9.570000,9.440000,9.500000,8.856042,114000
2016-09-21,9.380000,9.480000,9.350000,9.480000,8.837398,60100
2016-09-22,9.610000,9.690000,9.530000,9.560000,8.911974,74400
2016-09-23,9.400000,9.430000,9.320000,9.360000,8.725530,41600
2016-09-26,9.230000,9.260000,9.190000,9.230000,8.604342,46700
2016-09-27,9.150000,9.260000,9.150000,9.260000,8.632310,113800
2016-09-28,9.290000,9.360000,9.260000,9.340000,8.706887,255900
2016-09-29,9.180000,9.220000,9.110000,9.150000,8.529766,32700
2016-09-30,9.240000,9.340000,9.240000,9.320000,8.688243,82900
2016-10-03,9.420000,9.470000,9.400000,9.440000,8.800108,48000
2016-10-04,9.690000,9.720000,9.590000,9.590000,8.939939,52400
2016-10-05,9.560000,9.590000,9.540000,9.580000,8.930617,41600
2016-10-06,9.570000,9.610000,9.540000,9.550000,8.902652,16800
2016-10-07,9.580000,9.640000,9.560000,9.640000,8.986551,24500
2016-10-10,9.730000,9.730000,9.690000,9.710000,9.051805,73800
2016-10-11,9.550000,9.550000,9.330000,9.360000,8.725530,51000
2016-10-12,9.290000,9.310000,9.100000,9.200000,8.576377,64900
2016-10-13,9.090000,9.230000,9.080000,9.210000,8.585699,55600
2016-10-14,9.270000,9.330000,9.260000,9.310000,8.678921,30700
2016-10-17,9.370000,9.570000,9.350000,9.550000,8.902652,2987400
2016-10-18,9.450000,9.540000,9.450000,9.450000,8.809430,1425200
2016-10-19,9.270000,9.510000,9.270000,9.480000,8.893867,34400
2016-10-20,9.440000,9.550000,9.420000,9.540000,8.950156,306500
2016-10-21,9.340000,9.450000,9.330000,9.430000,8.846957,184200
2016-10-24,9.310000,9.370000,9.220000,9.260000,8.687468,311100
2016-10-25,9.200000,9.200000,9.130000,9.180000,8.612414,19900
2016-10-26,9.030000,9.240000,9.030000,9.150000,8.584270,199200
2016-10-27,9.120000,9.220000,9.090000,9.210000,8.640561,64400
