Date,Open,High,Low,Close,Adj Close,Volume
2016-08-19,6.600000,6.710000,6.580000,6.700000,4.915039,5513300
2016-08-22,6.580000,6.730000,6.560000,6.710000,4.922376,3109300
2016-08-23,6.740000,6.860000,6.730000,6.840000,5.017742,3831700
2016-08-24,6.870000,6.950000,6.860000,6.870000,5.039750,3178800
2016-08-25,6.920000,6.940000,6.860000,6.920000,5.076429,3622900
2016-08-26,6.920000,6.990000,6.810000,6.880000,5.047086,3028000
2016-08-29,6.770000,6.850000,6.750000,6.840000,5.017742,3548900
2016-08-30,6.890000,6.980000,6.880000,6.960000,5.105772,3365400
2016-08-31,6.960000,7.020000,6.850000,6.880000,5.047086,5035600
2016-09-01,6.820000,6.900000,6.720000,6.810000,4.995734,5127500
2016-09-02,6.650000,6.740000,6.560000,6.710000,4.922376,5870800
2016-09-06,6.770000,6.850000,6.720000,6.810000,4.995734,3054000
2016-09-07,6.870000,6.960000,6.870000,6.940000,5.091101,3172100
2016-09-08,6.830000,6.880000,6.770000,6.840000,5.017742,3465400
2016-09-09,6.760000,6.800000,6.660000,6.670000,4.893032,3036100
2016-09-12,6.530000,6.740000,6.520000,6.710000,4.922376,4482000
2016-09-13,6.590000,6.610000,6.500000,6.520000,4.782994,3636200
2016-09-14,6.420000,6.480000,6.380000,6.390000,4.687627,3619700
2016-09-15,6.380000,6.570000,6.340000,6.520000,4.782994,6373100
2016-09-16,6.350000,6.390000,6.320000,6.350000,4.658283,6024700
2016-09-19,6.520000,6.610000,6.500000,6.550000,4.805001,5596800
2016-09-20,6.450000,6.470000,6.280000,6.310000,4.628940,7171400
2016-09-21,6.330000,6.410000,6.300000,6.410000,4.702299,5806800
2016-09-22,6.540000,6.580000,6.490000,6.540000,4.797666,5493700
2016-09-23,6.420000,6.490000,6.400000,6.430000,4.716970,5090100
2016-09-26,6.270000,6.290000,6.190000,6.190000,4.540910,5285400
2016-09-27,6.070000,6.160000,6.050000,6.090000,4.467551,7826700
2016-09-28,6.200000,6.230000,6.120000,6.230000,4.570253,9761900
2016-09-29,6.260000,6.310000,6.130000,6.140000,4.504230,7008200
2016-09-30,6.140000,6.450000,6.140000,6.400000,4.694963,7683300
2016-10-03,6.370000,6.460000,6.350000,6.460000,4.738978,4756000
2016-10-04,6.460000,6.480000,6.360000,6.410000,4.702299,5818400
2016-10-05,6.480000,6.630000,6.470000,6.580000,4.827009,5677900
