year,format,host,final_venue,winner,margin,runner_up
1984,ODI,UAE,Sharjah,India,54 runs,Pakistan
1986,ODI,Sri Lanka,Colombo (SSC),Sri Lanka,5 wickets,Pakistan
1988,ODI,Bangladesh,Dhaka,India,6 wickets,Sri Lanka
1991,ODI,India,Kolkata,India,7 wickets,Sri Lanka
1995,ODI,UAE,Sharjah,India,8 wickets,Sri Lanka
1997,ODI,Sri Lanka,Colombo (RPS),Sri Lanka,8 wickets,India
2000,ODI,Bangladesh,Dhaka,Pakistan,39 runs,Sri Lanka
2004,ODI,Sri Lanka,Colombo (RPS),Sri Lanka,25 runs,India
2008,ODI,Pakistan,Karachi,Sri Lanka,100 runs,India
2010,ODI,Sri Lanka,Dambulla,India,81 runs,Sri Lanka
2012,ODI,Bangladesh,Mirpur,Pakistan,2 runs,Bangladesh
2014,ODI,Bangladesh,Mirpur,Sri Lanka,5 wickets,Pakistan
2016,T20I,Bangladesh,Mirpur,India,8 wickets,Bangladesh
